name,x,y
入舟町,-250023.33946293988,37302.80191672308
船見町,-247895.0126902854,37421.91241860255
弥生町,-247742.9238849376,37957.48047315806
弁天町,-247372.59323103813,37925.50118160207
大町,-247620.78059680646,38265.54198763736
末広町,-248112.84415892966,38708.031955076
元町,-248355.01538057424,38408.91589268332
青柳町,-249019.793893891,38765.16423236096
谷地頭町,-249515.184625472,38342.12641805017
住吉町,-249865.49768414034,38872.37724872655
宝来町,-248676.6146117294,39193.21813138287
東川町,-248414.6852615451,39424.02774522488
豊川町,-247937.58805767202,39055.55169540056
大手町,-247612.8882718868,39351.43072998114
栄町,-248205.79804147463,39621.52187597611
旭町,-247925.6698692773,39727.22941285164
東雲町,-247672.6795583503,39905.331745013944
大森町,-247655.62843585695,40449.49592369811
松風町,-247375.08909069904,40074.27534225864
若松町,-247038.82569083036,39750.31959741877
千歳町,-247240.40883980037,40579.58764920311
新川町,-246873.56678404385,40462.86272678322
上新川町,-246477.2139808919,40731.873196723085
海岸町,-246299.98723763725,39800.24469712776
大縄町,-246260.08549458592,40340.60100247517
松川町,-245841.06351236257,40436.237776207265
万代町,-245652.47980812,39882.9181246687
浅野町,-244690.77689700713,39324.95750029528
吉川町,-244903.3895306971,39799.11629043803
北浜町,-244516.27962737888,39729.80923830298
港町１丁目,-243945.24188747496,39601.89940721678
港町２丁目,-243945.24188747496,39601.89940721678
港町３丁目,-243945.24188747496,39601.89940721678
追分町,-244290.87761452625,39998.72874798992
亀田町,-244875.4019256413,40274.77340101695
大川町,-244421.84743512483,40623.67295950354
田家町,-244459.996323891,41157.4355204212
白鳥町,-244817.70904512148,41102.897752908284
八幡町,-245032.04956253033,40658.14408300813
宮前町,-245425.93304566888,40569.95300521218
中島町,-246155.5432601487,40893.63317638631
千代台町,-245958.338065238,41330.56978044108
堀川町,-246696.82858079032,41073.387155420925
高盛町,-247099.59666044245,41102.0557694761
宇賀浦町,-247486.46620361536,41114.256759589545
日乃出町,-247050.28113681535,41773.43638783768
的場町,-246565.23292020606,41685.14310698706
時任町,-246136.88150507087,41891.45891949948
杉並町,-245304.95104902764,42149.48131830849
本町,-245469.79866428455,41727.87784915039
梁川町,-245308.4706469973,41318.66606539933
五稜郭町,-244613.18938947748,41952.8374831108
柳町,-244965.3483444625,42519.9073903089
松陰町,-245670.59841132959,42500.747060015216
人見町,-246072.7898132414,42401.47586395271
金堀町,-246853.8892556815,42401.78634154692
乃木町,-246273.8786918993,42781.81681158133
柏木町,-245357.5910241813,43044.38667993991
川原町,-245010.35061778754,43201.291426824704
深堀町,-245627.9213051356,43865.67074585187
駒場町,-246149.12614829827,43540.76727992799
広野町,-246639.75936502602,43070.897223104665
湯浜町,-246845.70124805428,43687.91964948242
湯川町１丁目,-246513.5236504651,44353.517799982554
湯川町２丁目,-246513.5236504651,44353.517799982554
湯川町３丁目,-246513.5236504651,44353.517799982554
戸倉町,-246106.05019414524,46054.426377584554
榎本町,-245704.99602240915,45202.83032843518
花園町,-245096.33282722888,44178.909170707804
日吉町１丁目,-245344.83038019013,44883.789358702605
日吉町２丁目,-245344.83038019013,44883.789358702605
日吉町３丁目,-245344.83038019013,44883.789358702605
日吉町４丁目,-245344.83038019013,44883.789358702605
