noun,relative,dist
北緯,0.0,0.0
帳簿,0.0,0.0
演説,0.0,0.0
育成,0.0,0.0
資金調達,0.0,0.0
陣容,0.0,0.0
引渡,0.0,0.0
事前,0.0,0.0
話し合い,0.0,0.0
ヨリ,0.0,0.07692307692307693
金穀,0.0,0.0
不在,0.0,0.0
圭介,0.0,0.0
歩兵,0.0,0.0
判事,0.0,0.0
実務,0.0,0.0
但書,0.0,0.0
保全,0.0,0.05263157894736842
開庁,0.0,0.0
談話,0.0,0.0
分課,0.0,0.0
官僚,0.0,0.0
東久世,0.0,0.0
官制,0.0,0.0
主任,0.0,0.0
降伏,0.0,0.0
知事,0.0,0.0
減額,0.0,0.0
月給,0.0,0.0
公論,0.0,0.0
専任,0.0,0.0
刑法,0.0,0.0
庶務,0.0,0.0
刷新,0.0,0.0
府事,0.0,0.0
従事,0.0,0.0
参事,0.0,0.0
提灯,0.0,0.0
事務局,0.0,0.0
複数,0.0,0.0
人事,0.0,0.0
改称,0.0,0.0
維持,0.0,0.0
長門,0.0,0.0
飛脚,0.0,0.0
優位,0.0,0.0
開陽,0.0,0.0
終結,0.0,0.0
伏見,0.0,0.0
徹底,0.0,0.3333333333333333
作戦,0.0,0.0
部隊,0.0,0.0
衆議,0.0,0.0
イタリア,0.0,0.0
主導,0.0,0.0
議題,0.0,0.0
執行,0.0,0.0
辞表,0.0,0.0
砲撃,0.0,0.0
入荷,0.0,0.0
山村,0.0,0.0
治安,0.0,0.0
議事,0.0,0.3333333333333333
副総裁,0.0,0.0
興業,0.0,0.0
受け入れ,0.0,0.0
首脳,0.0,0.0
岡本,0.0,0.0
建議,0.0,0.16666666666666666
青年,0.0,0.0
ロワ,0.0,0.0
公考,0.0,0.0
清水谷,0.0,0.0
引継,0.0,0.0
布告,0.0,0.0
会計,0.0,0.0
担当者,0.0,0.0
木下,0.0,0.0
現況,0.0,0.0
判官,0.0,0.0
根幹,0.0,0.0
位置づけ,0.0,0.05555555555555555
発令,0.0,0.0
沈没,0.0,0.0
表明,0.0,0.3333333333333333
援護,0.0,0.0
咸臨,0.0,0.0
蟠龍,0.0,0.0
回天,0.0,0.0
朝陽,0.0,0.0
兵隊,0.0,0.0
決着,0.0,0.0
解散,0.0,0.0
渋沢,0.0,0.0
彰義,0.0,0.0
遊撃隊,0.0,0.0
土方,0.0,0.0
連隊,0.0,0.0
常備,0.0,0.0
妥協,0.0,0.0
デュース,0.0,0.0
火事,0.0,0.024390243902439025
引揚げ,0.0,0.0
撤廃,0.0,0.0
軍隊,0.0,0.5
訓練,0.0,0.0
佐渡,0.0,0.0
公選,0.0,0.0
宣言,0.0,0.0
働きかけ,0.0,0.027777777777777776
請願書,0.0,0.0
声明書,0.0,0.0
分隊,0.0,0.0
きっかけ,0.0,0.0
三上,0.0,0.0
海陸,0.0,0.0
戦況,0.0,0.0
荒井,0.0,0.0
軍用,0.0,0.0
大蔵,0.0,0.0
屯所,0.0,0.0
大隊,0.0,0.0
伝習,0.0,0.0
亀之助,0.0,0.0
聴取,0.0,0.0
月俸,0.0,0.0
破綻,0.0,0.0
窮状,0.0,0.0
戦線,0.0,0.0
天皇制,0.0,0.0
低迷,0.0,0.0
布達,0.0,0.25263157894736843
一因,0.0,0.0
岩村,0.0,0.0
大蔵省,0.0,0.0
次官,0.0,0.0
府知事,0.0,0.0
各省,0.0,0.0
交付,0.0,0.16666666666666666
上石見,0.0,0.0
一斉,0.0,0.0
実質,0.0,0.0
大政,0.0,0.0
仲介,0.0,0.0
当局,0.0,0.0
嘆願書,0.0,0.0
中立,0.0,0.0
隆盛,0.0,0.0
一覧表,0.0,0.0
小隊,0.0,0.0
変革,0.0,0.0
加盟,0.0,0.0
本陣,0.0,0.0
同盟,0.0,0.0
羽越,0.0,0.0
上京,0.0,0.0
請求,0.0,0.0
支払,0.0,0.0
再三,0.0,0.0
総督府,0.0,0.0
小田,0.0,0.0
採掘,0.0,0.0
残金,0.0,0.0
一本化,0.0,0.0
日増し,0.0,0.0
ついで,0.0,0.0
関わり,0.0,0.0
経由,0.0,0.0
納税,0.0,0.0
基幹,0.0,0.0
利害,0.0,0.0
経済上,0.0,0.0
工事費,0.0,0.0
直航,0.0,0.0
失敗,0.0,0.0
支障,0.0,0.0
記載,0.0,0.3333333333333333
ポンド,0.0,0.0
プラン,0.0,0.0
現在地,0.0,0.0
高島,0.0,0.0
はと,0.0,0.0
着工,0.0,0.0
融資,0.0,0.0
運用,0.0,0.0
変容,0.0,0.5
経理,0.0,0.0
投資,0.0,0.0
再開発,0.0,0.0
採算,0.0,0.0
貸付金,0.0,0.16666666666666666
損益,0.0,0.0
決算,0.0,0.3333333333333333
削減,0.0,0.0
前出,0.0,0.0
慶喜,0.0,0.0
自立,0.0,0.0
大網,0.0,0.0
促進,0.0,0.0
石数,0.0,0.0
届出,0.0,0.0
緩和,0.0,0.0
方式,0.0,0.0
荒木,0.0,0.0
中核,0.0,0.0
前掲,0.0,0.02857142857142857
状況下,0.0,0.0
国交,0.0,0.0
船数,0.0,0.0
マス,0.0,0.0
弥四郎,0.0,0.0
不明,0.0,0.0
上申書,0.0,0.0
