noun,relative,dist
青森県,0.0,0.0
日刊紙,0.0,0.0
めざまし新聞社,0.0,0.0
小新聞,0.0,0.0
巴港社,0.0,0.0
犬養毅,0.0,0.0
主筆上島,0.0,0.0
真島,0.0,0.0
立憲改進,0.0,0.0
主幹,0.0,0.07692307692307693
野村,0.0,0.35
函館師範学校付属小学校,0.0,0.0
編集人,0.0,0.0
出戸栄松,0.0,0.0
記者,0.0,0.38803418803418804
印刷長,0.0,0.0
仮編集長,0.0,0.0
社告,0.0,0.0
野村庸,0.0,0.0
日本美術協会,0.0,0.0
画業,0.0,0.0
佐久間健寿,0.0,0.0
片岡健吉,0.0,0.0
めざまし,0.0,0.2777777777777778
函館船渠会社,0.0,0.3333333333333333
工藤忠兵衛,0.0,0.0
平福,0.0,0.0
日本画家,0.0,0.25
巴珍報,0.0,0.0
団団珍聞,0.0,0.0
明六雑誌,0.0,0.0
函館公論社,0.0,0.0
内山吉太,0.0,0.25
函館日日新聞,0.0,0.83003663003663
立憲政友会,0.0,0.25
衆議院議員選挙,0.0,0.0
編集長,0.0,0.0
函館公論,0.0,0.0
岩淵吉太郎,0.0,0.0
川上嘉吉,0.0,0.0
蝦夷日報社,0.0,0.0
蝦夷日報,0.0,0.0
函館商業新報,0.0,0.0
函館案内,0.0,0.0
成田,0.0,0.010101010101010102
斎藤和太郎,0.0,0.0
北海新聞社,0.0,0.0
石坂嘉蔵,0.0,0.0
阿部小一郎,0.0,0.0
青森新聞社,0.0,0.0
伊藤鋳,0.0,0.0
青江,0.0,0.0
三業規則,0.0,0.0
駒止町,0.0,0.0
旧主,0.0,0.0
司法省令,0.0,0.0
公娼制度,0.0,0.0
マリアルーズ,0.0,0.0
ペルー,0.0,0.0
奴隷,0.0,0.0
賃金労働者,0.0,0.14285714285714285
抱え主,0.0,0.0
三業,0.0,0.0
マリアルーズ号事件,0.0,0.0
新築島,0.0,0.14285714285714285
祈祷師,0.0,0.0
後藤新平,0.0,0.1
看護婦,0.0,0.0
北海道庁衛生年報,0.0,0.0
歯科医,0.0,0.0
折衷,0.0,0.0
洋医,0.0,0.0
東北各県,0.0,0.0
医学教授,0.0,0.0
髪結い,0.0,0.25
平福穂庵,0.0,0.0
警視庁,0.0,0.0
遊女屋税,0.0,0.0
青森日新,0.0,0.0
印刷所,0.0,0.0
石川喜八,0.0,0.5
娼妓取締規則,0.0,0.0
安井,0.0,0.0
函館控訴院,0.0,0.0
山田精一,0.0,0.0
坂井,0.0,0.0
大審院,0.0,0.0
ハル,0.0,0.3333333333333333
貸座敷,0.0,0.0
阿部ハル,0.0,0.0
寺井四郎,0.0,0.3333333333333333
上田大法,0.0,0.14285714285714285
仲山与七,0.0,0.25
里子,0.0,0.0
北海道庁時代,0.0,0.0
槙山淳道,0.0,0.0
富田五三郎,0.0,0.0
女紅,0.0,0.0
女紅場,0.0,0.0
蓬莱町遊郭,0.0,0.5
函館慈恵院,0.0,0.1111111111111111
外科,0.0,0.5
穂庵,0.0,0.0
函館繁昌記,0.0,0.0
渋谷金次郎,0.0,0.0
自治区制,0.0,0.0
函館支庁長龍岡信熊,0.0,0.0
常設委員,0.0,0.0
内務部長,0.0,0.0
小樽区,0.0,0.0
札幌区,0.0,0.041666666666666664
壮丁,0.0,0.1
現役兵,0.0,0.25
要塞地帯法違反,0.0,0.0
佐世保,0.0,0.0
函館商業会議所月報,0.0,0.0
函館支部長,0.0,0.0
函館要塞司令官,0.0,0.0
勅令第176号,0.0,0.0
要塞司令部,0.0,0.0
要塞司令官,0.0,0.0
司令部,0.0,0.2
函館要塞司令部,0.0,0.0
大倉組,0.0,0.0
函館要塞築城事務所,0.0,0.0
馬場民,0.0,0.3333333333333333
政友会函館支部,0.0,0.0
公友会,0.0,0.0
末広直方,0.0,0.0
沖縄県,0.0,0.0
銓衡,0.0,0.0
無記名投票,0.0,0.0
黒金泰義,0.0,0.0
北門倶楽部,0.0,0.0
末永,0.0,0.0
委員会委員長,0.0,0.0
議員協議会,0.0,0.0
神山和雄,0.0,0.0
広瀬孝作,0.0,0.0
陸軍築城部,0.0,0.0
渋谷,0.0,0.0
出席議員全員,0.0,0.0
区会議員協議会,0.0,0.0
北守,0.0,0.0
新区長,0.0,0.0
交渉委員,0.0,0.0
與兵衛,0.0,0.0
区長職,0.0,0.0
満場一致,0.0,0.0
末広区長,0.0,0.0
山田邦彦,0.0,0.0
林区長,0.0,0.0
函館憲兵分隊,0.0,0.3333333333333333
函館連隊区司令部,0.0,0.2
函館砲隊,0.0,0.0
学校教員,0.0,0.1111111111111111
バラ,0.0,0.14285714285714285
果実,0.0,0.3565891472868217
浅田,0.0,0.8333333333333333
浅草,0.0,0.5
立函館商業学校,0.0,0.125
第二館,0.0,0.0
庁立函館商業学校,0.0,0.125
函館書籍館,0.0,0.0
函館区共有書籍庫,0.0,0.0
函館山々麓,0.0,0.0
課長,0.0,0.47619047619047616
齊会,0.0,0.0
佐久間市五郎,0.0,0.0
千葉重吉,0.0,0.0
魁文,0.0,0.0
写真家,0.0,0.5
初編,0.0,0.0
抱月亭,0.0,0.0
巴冊子,0.0,0.0
東京地区,0.0,0.0
保証金供託不能,0.0,0.0
中心メンバー,0.0,0.0
中央画壇,0.0,0.0
江差役所,0.0,0.0
片山潜,0.0,0.0
護衛兵,0.0,0.0
戒厳令,0.0,0.625
要塞地帯法,0.0,0.5
渋民村,0.0,0.0
豊吉,0.0,0.0
函館平民倶楽部,0.0,0.0
西川光二郎,0.0,0.0
社会主義者,0.0,0.0
高林庸,0.0,0.0
訓盲院,0.0,0.06666666666666667
労働争議,0.0,0.0
篠崎,0.0,0.03571428571428571
ロシア革命,0.0,0.0
知識人,0.0,0.0
無政府主義,0.0,0.0
堺利彦,0.0,0.0
新聞記者,0.0,0.18803418803418803
北日本新聞社,0.0,0.0
社会主義,0.0,0.0
幸徳秋水,0.0,0.0
片山,0.0,0.0
安部磯雄,0.0,0.0
函館平民新聞読者会,0.0,0.0
医者,0.0,0.0
漢方医,0.0,0.0
医制,0.0,0.0
ハンプトン,0.0,0.0
プロテスタント,0.0,0.0
函館師範学校,0.0,0.2159090909090909
5年制,0.0,0.0
高等女学科,0.0,0.0
子女,0.0,0.0
津田,0.0,1.0
函館分校,0.0,0.0
函館商船,0.0,0.0
道庁所管,0.0,0.0
小学中等科卒業以上,0.0,0.0
中里,0.0,0.0
助教諭,0.0,0.0
小学生,0.0,0.0
中山信成,0.0,0.0
三菱商船学校,0.0,0.0
東京商船学校,0.0,0.0
内務両大臣,0.0,0.0
商業専修科,0.0,0.0
井上毅,0.0,0.0
2科,0.0,0.0
地方長官,0.0,0.0
東京師範学校,0.0,0.0
手習師,0.0,0.0
自費生,0.0,0.0
副会長,0.0,0.0
北海道学事新報,0.0,0.0
函館教育協会沿革史,0.0,0.0
函館教育協会,0.0,0.19090909090909092
村岡素一郎,0.0,0.0
女子師範,0.0,0.0
視学官,0.0,0.0
師範,0.0,0.2159090909090909
文部大臣,0.0,0.0
小学校教員,0.0,0.0
卒業式,0.0,0.045454545454545456
有資格教員,0.0,0.0
山崎清,0.0,0.0
野口源之助,0.0,0.0
各大学区本部,0.0,0.0
函館師範学校第一年報,0.0,0.0
函館師範学校教諭,0.0,0.09090909090909091
師範学科,0.0,0.0
小学教員,0.0,0.0
全科卒業生,0.0,0.0
中里方精,0.0,0.0
官費生,0.0,0.0
講師,0.0,0.5
函館商業学校卒業生,0.0,0.0
教諭,0.0,0.09090909090909091
北海道庁立函館商業学校,0.0,0.0
古川,0.0,0.0
4年制,0.0,0.0
函館女学校,0.0,0.0
函館区事務報告,0.0,0.0
義務教育,0.0,0.3333333333333333
全面改定,0.0,0.0
北海道庁学事年報,0.0,0.0
府県知事,0.0,0.0
御真影,0.0,0.0
函館女子高等小学校,0.0,0.0
低所得者層,0.0,0.0
首相,0.0,0.3333333333333333
校長,0.0,0.06911928651059085
長谷川孝,0.0,0.0
函館教育協会雑誌,0.0,0.1
簡易科,0.0,0.0
全道郡区長,0.0,0.0
帝国大学,0.0,0.14285714285714285
森有礼,0.0,0.0
沖田,0.0,0.0
住吉小学校,0.0,0.0
函館女子小学校,0.0,0.0
小学簡易科,0.0,0.0
岡野敬,0.0,0.0
女子教員,0.0,0.0
イギリス人宣教師,0.0,0.043478260869565216
北海道庁立,0.0,0.0
高等中学校,0.0,0.0
東京商業学校,0.0,0.0
嘯山,0.0,0.0
助手,0.0,0.0
函館商業学校,0.0,0.6454081632653061
体育,0.0,0.0
函館幼稚園,0.0,0.0
保母,0.0,0.0
キリスト教主義,0.0,0.0
監事,0.0,0.0
桜井,0.0,0.0
桜井ちか,0.0,0.0
教育者,0.0,0.0
卒業生,0.0,0.45
訓盲会,0.0,0.038461538461538464
院長,0.0,0.48148148148148145
函館訓盲院,0.0,0.037037037037037035
ワドマン,0.0,0.037037037037037035
ドレーパー,0.0,0.038461538461538464
東京盲唖学校,0.0,0.0
文部省直轄,0.0,0.0
武藤,0.0,0.0625
岡野,0.0,0.0
富岡町5番地,0.0,0.0
函館区外,0.0,0.0
函館人,0.0,0.25757575757575757
官軍,0.0,0.1
目玉,0.0,0.0
教導職廃止以後,0.0,0.0
教導職廃止,0.0,0.0
別院,0.0,0.0
烏有,0.0,0.5
檀信徒,0.0,0.0
岡崎,0.0,0.0
函館別院,0.0,0.0
傷病乗組員,0.0,0.0
松尾日隆,0.0,0.0
クリスマス,0.0,0.0
天主,0.0,0.0
日本基督,0.0,0.0
ハリストス正教,0.0,0.0
天主公,0.0,0.0
久保田恭平,0.0,0.0
日本聖公会,0.0,0.0
開拓使－,0.0,0.0
今田,0.0,0.0
仙台県,0.0,0.0
国家神道,0.0,0.0
キリスト教受容,0.0,0.0
アメリカ人医師,0.0,0.0
日本人医師,0.0,0.0
内務省史,0.0,0.0
施療院,0.0,0.0
外来患者,0.0,0.1
黴毒患者,0.0,0.0
赤城昌英,0.0,0.0
田沢謙,0.0,0.0
田中尭,0.0,0.0
宍戸精,0.0,0.0
鳥潟精一,0.0,0.0
与一郎,0.0,0.041666666666666664
西洋医学,0.0,0.0
後藤,0.0,0.1
佐藤廉,0.0,0.0
函館病院医員,0.0,0.0
医員たち,0.0,0.0
深瀬鴻,0.0,0.0
副院長,0.0,0.0
札幌病院,0.0,0.0
北川,0.0,0.045454545454545456
橋本龍三,0.0,0.0
市立函館病院百年史,0.0,0.0
阿部龍夫,0.0,0.14285714285714285
後藤厚,0.0,0.0
市長選挙,0.0,0.0
函館キリスト教史,0.0,0.0
大教院,0.0,0.0
天台宗,0.0,0.0
江差正覚院,0.0,0.0
札幌神社,0.0,0.0
宗教史,0.0,0.0
近代宗教史,0.0,0.0
小樽高島村,0.0,0.0
教部省,0.0,0.0
江差正覚,0.0,0.0
金毘羅宮,0.0,0.0
住職,0.0,0.1875
キリスト教文化,0.0,0.0
天神,0.0,0.0
神仏分離政策,0.0,0.14285714285714285
神道,0.0,0.16666666666666666
夏期講習会,0.0,0.0
北海道教育会,0.0,0.0
札幌教育会,0.0,0.0
村岡,0.0,0.0
常会員,0.0,0.0
磯谷分会,0.0,0.0
戸井分会,0.0,0.0
前田憲,0.0,0.0
藤枝,0.0,0.0
浄土真宗,0.0,0.0
対キリスト教,0.0,0.0
北海道寺院沿革誌,0.0,0.0
常務,0.0,0.3333333333333333
函館中教院,0.0,0.0
教徒,0.0,0.0
神座,0.0,0.0
講殿,0.0,0.0
講幹,0.0,0.0
函館宗教界,0.0,0.0
中教院,0.0,0.0
教導職,0.0,0.0
講義訓導,0.0,0.0
仏教寺院,0.0,0.0
北海道函館,0.0,0.17692307692307693
近代天皇制,0.0,0.0
明治17年以後,0.0,0.0
元宮八幡,0.0,0.0
近代宗教界,0.0,0.0
第3次開教,0.0,0.0
開化,0.0,0.025
増上寺,0.0,0.0
泉涌寺,0.0,0.0
松前城下寺院,0.0,0.0
本寺,0.0,0.0
近世幕藩体制,0.0,0.0
西岡実太,0.0,0.0
西岡,0.0,0.0
樺太庁,0.0,0.0
函館大火後,0.0,0.0
斎藤與一郎,0.0,0.14285714285714285
木村英俊,0.0,0.0
松風小学校,0.0,0.0
新市長,0.0,0.0
阿部覚治,0.0,0.0
弥吉茂樹,0.0,0.0
総務課長,0.0,0.0
佐藤孝三郎,0.0,0.0
川崎,0.0,0.038461538461538464
内務省警保局,0.0,0.0
市長銓衡委員会,0.0,0.0
主事,0.0,0.0
藤村,0.0,0.0625
渡辺泰邦,0.0,0.0
市長候補者,0.0,0.0
市会議員協議会,0.0,0.0
小浜松次郎,0.0,0.0
両委員,0.0,0.0
浜崎,0.0,0.0
市長詮衡委員会,0.0,0.0
市会議長,0.0,0.09090909090909091
藤原覚,0.0,0.0
渡島支庁,0.0,0.3333333333333333
函館市会,0.0,0.0
膺懲連盟,0.0,0.0
期成同盟,0.0,0.47619047619047616
太刀川,0.0,0.1
臨時電気事業調査委員会,0.0,0.0
高橋文五郎,0.0,0.0
大島寅吉,0.0,0.0
藤原銀次郎,0.0,0.0
穴水,0.0,0.0
穴水熊雄,0.0,0.0
富士製紙,0.0,0.0
有権者,0.0,0.0
北海水力,0.0,0.0
美濃部,0.0,0.0
市議,0.0,0.20535714285714285
取締役会長,0.0,0.0
既得権,0.0,0.0
戸井電気,0.0,0.0
北海道瓦斯,0.0,0.0
電気軌道事業,0.0,0.0
札幌市,0.0,0.047619047619047616
出張所長,0.0,0.0
湯川町会,0.0,0.0
穴水要,0.0,0.0
黒住代議士,0.0,0.0
皇太子,0.0,0.0
伊藤貞次,0.0,0.0
ヨーロッパ市場,0.0,0.0
堤商会,0.0,0.0
漁区経営者名簿,0.0,0.0
漁業協約発効,0.0,0.0
筋子,0.0,0.0
平安丸,0.0,0.0
島村,0.0,0.07142857142857142
ニコラエフスク市庁,0.0,0.0
ロシア人漁場,0.0,0.0
東邦水産株式会社,0.0,0.0
代表社員,0.0,0.0
女婿坂本,0.0,0.0
田中仙太郎,0.0,0.0
真藤慎太郎,0.0,0.0
魯漁業株式会社,0.0,0.0
信一郎,0.0,0.0
西カムチャツカ,0.0,0.0
サハリン,0.0,0.0
小川合名会社,0.0,0.0
菴輔譟舌蜊,0.0,0.0
螢イ,0.0,0.0
邱上,0.0,0.0
函館製網船具株式会社,0.0,0.0
札幌逓信局長,0.0,0.0
二部教授,0.0,0.0
第3次小学校令,0.0,0.0
市会議員,0.0,0.1
二級制,0.0,0.0
工業補習学校,0.0,0.0
商業補習学校,0.0,0.0
教授時数,0.0,0.0
運転士,0.0,0.0
