noun,relative,dist
北緯,0.0,0.2
事務局,0.0,0.0
人事,0.0,0.0
判官,0.0,0.0
改称,0.0,0.0
議事,0.0,0.16666666666666666
副総裁,0.0,0.0
興業,0.0,0.0
但書,0.0,0.0
受け入れ,0.0,0.09090909090909091
岡本,0.0,0.0
建議,0.0,0.0
青年,0.0,0.0
ロワ,0.0,0.0
公考,0.0,0.0
清水谷,0.0,0.0
引継,0.0,0.0
首脳,0.0,0.045454545454545456
実務,0.0,0.0
判事,0.0,0.0
歩兵,0.0,0.0
提灯,0.0,0.0
分課,0.0,0.0
談話,0.0,0.2159090909090909
開庁,0.0,0.0
話し合い,0.0,0.0
帳簿,0.0,0.0
演説,0.0,0.0
育成,0.0,0.0
資金調達,0.0,0.0
陣容,0.0,0.0
引渡,0.0,0.0
事前,0.0,0.0
ヨリ,0.0,0.1
保全,0.0,0.0
金穀,0.0,0.0
不在,0.0,0.0
圭介,0.0,0.0
布告,0.0,0.0
参事,0.0,0.0
会計,0.0,0.0
木下,0.0,0.0
大政,0.0,0.0
一本化,0.0,0.0
日増し,0.0,0.0
ついで,0.0,0.2
損傷,0.0,0.0
貸渡,0.0,0.0
技師,0.0,0.16666666666666666
辞表,0.0,0.0
洋風,0.0,0.2
旧幕,0.0,0.0
クラス,0.0,0.08333333333333333
評価,0.0,0.5
配分,0.0,0.0
善太郎,0.0,0.0
千葉,0.0,0.0
急務,0.0,0.0
蓄積,0.0,0.0
執行,0.0,0.0
議題,0.0,0.0
主導,0.0,0.0
現況,0.0,0.0
治安,0.0,0.0
山村,0.0,0.0
入荷,0.0,0.0
徹底,0.0,0.045454545454545456
維持,0.0,0.09090909090909091
長門,0.0,0.0
飛脚,0.0,0.0
優位,0.0,0.0
開陽,0.0,0.0
終結,0.0,0.0
伏見,0.0,0.0
作戦,0.0,0.0
砲撃,0.0,0.0
部隊,0.0,0.0
衆議,0.0,0.05
イタリア,0.0,0.047619047619047616
担当者,0.0,0.0
商取引,0.0,0.0
従事,0.0,0.4583333333333333
刷新,0.0,0.0
伝習,0.0,0.0
亀之助,0.0,0.0
嘆願書,0.0,0.0
中立,0.0,0.0
隆盛,0.0,0.5
一覧表,0.0,0.0
小隊,0.0,0.0
大隊,0.0,0.0
変革,0.0,0.0
本陣,0.0,0.0
同盟,0.0,0.3333333333333333
羽越,0.0,0.0
上京,0.0,0.5
請求,0.0,0.0
支払,0.0,0.5
再三,0.0,0.0
加盟,0.0,0.0
屯所,0.0,0.0
常備,0.0,0.2
連隊,0.0,0.0
引揚げ,0.0,0.0
デュース,0.0,0.0
兵隊,0.0,0.0
沈没,0.0,0.0
表明,0.0,0.3333333333333333
援護,0.0,0.0
咸臨,0.0,0.0
蟠龍,0.0,0.0
回天,0.0,0.0
朝陽,0.0,0.0
決着,0.0,0.0
妥協,0.0,0.14285714285714285
解散,0.0,0.25
渋沢,0.0,0.0
彰義,0.0,0.0
遊撃隊,0.0,0.0
土方,0.0,0.0
総督府,0.0,0.0
府事,0.0,0.0
小田,0.0,0.5
銀行,0.0,0.0
発令,0.0,0.0
位置づけ,0.0,0.0
根幹,0.0,0.0
複数,0.0,0.0
官僚,0.0,0.0
東久世,0.0,0.0
官制,0.0,0.0
一斉,0.0,0.25
主任,0.0,0.06666666666666667
知事,0.0,0.0
減額,0.0,0.0
月給,0.0,0.0
公論,0.0,0.0
専任,0.0,0.0
刑法,0.0,0.0
庶務,0.0,0.0
降伏,0.0,0.1111111111111111
上石見,0.0,0.0
交付,0.0,0.0
各省,0.0,0.0
当局,0.0,0.0
残金,0.0,0.0
仲介,0.0,0.0
実質,0.0,0.0
聴取,0.0,0.0
月俸,0.0,0.0
破綻,0.0,0.0
窮状,0.0,0.0
戦線,0.0,0.0
天皇制,0.0,0.14285714285714285
低迷,0.0,0.0
布達,0.0,0.1111111111111111
一因,0.0,0.0
岩村,0.0,0.0
大蔵省,0.0,0.0
次官,0.0,0.0
府知事,0.0,0.0
採掘,0.0,0.0
検閲,0.0,0.0
燃料,0.0,0.024390243902439025
生徒,0.0,0.23846153846153847
高島,0.0,0.0
はと,0.0,0.0
荒木,0.0,0.0
中核,0.0,0.1984126984126984
前掲,0.0,0.018867924528301886
状況下,0.0,0.0
増強,0.0,0.0
現在地,0.0,0.0
用船,0.0,0.06666666666666667
飼料,0.0,0.037037037037037035
牛肉,0.0,0.0
在日,0.0,0.16666666666666666
当該,0.0,0.25
サンフランシスコ,0.0,0.0
夫人,0.0,0.0
内実,0.0,0.0
ウィル,0.0,0.0
プラン,0.0,0.07142857142857142
ポンド,0.0,0.0
記載,0.0,0.0
石数,0.0,0.016129032258064516
届出,0.0,0.0
緩和,0.0,0.0
方式,0.0,0.02564102564102564
変容,0.0,0.0
運用,0.0,0.0
融資,0.0,0.0
直航,0.0,0.0
関わり,0.0,0.0
経由,0.0,0.0
納税,0.0,0.0
基幹,0.0,0.0
利害,0.0,0.0
経済上,0.0,0.0
工事費,0.0,0.03571428571428571
失敗,0.0,0.0
支障,0.0,0.0
船客,0.0,0.0
促進,0.0,0.0
ロジャーズ,0.0,0.0
購入,0.0,0.0
思惑,0.0,0.0
即時,0.0,0.0
提供,0.0,0.14285714285714285
利用者,0.0,0.0
冒頭,0.0,0.0
公共,0.0,0.25
官員,0.0,0.08333333333333333
事実上,0.0,0.0
伍長,0.0,0.0
通知,0.0,0.0
危険,0.0,0.0
トン数,0.0,0.0
周知,0.0,0.0
謙二郎,0.0,0.0
ベース,0.0,0.0
呉服店,0.0,0.0
参謀,0.0,0.0
席上,0.0,0.0
細則,0.0,0.0
終了,0.0,0.0
積載,0.0,0.0
国旗,0.0,0.0
延べ,0.0,0.28846153846153844
ドルフ,0.0,0.0
リュー,0.0,0.5
大日本,0.0,0.0
国交,0.0,0.0
船数,0.0,0.0
マス,0.0,0.0625
弥四郎,0.0,0.0
不明,0.0,0.0
上申書,0.0,0.0
中等,0.0,0.0
一員,0.0,0.0
保証,0.0,0.0
翻訳,0.0,0.0
危機感,0.0,0.0
司令官,0.0,0.0
大網,0.0,0.0
自立,0.0,0.0
慶喜,0.0,0.0
遂行,0.0,0.0
皮切り,0.0,0.0
発言,0.0,0.0
任命,0.0,0.0
代弁,0.0,0.0
外務省,0.0,0.0
一覧,0.0,0.0
時々,0.0,0.0
手続き,0.0,0.0
石井,0.0,0.0
窓口,0.0,0.08333333333333333
柳田,0.0,0.0
違反,0.0,0.0
拝借,0.0,0.0
売渡,0.0,0.0
ねらい,0.0,0.0
創刊,0.0,0.0
一律,0.0,0.0
俸給,0.0,0.0
不詳,0.0,0.0
学習,0.0,0.0
使用人,0.0,0.0
