noun,relative,dist
北緯,0.0,0.0
損傷,0.0,0.5
貸渡,0.0,0.0
技師,0.0,0.07692307692307693
洋風,0.0,0.0
蓄積,0.0,0.0
旧幕,0.0,0.17777777777777776
クラス,0.0,0.3333333333333333
配分,0.0,0.0
善太郎,0.0,0.0
千葉,0.0,0.0
急務,0.0,0.325
商取引,0.0,0.0
検閲,0.0,0.045454545454545456
燃料,0.0,0.2
使用人,0.0,0.0
ついで,0.0,0.9333333333333333
日増し,0.0,0.14285714285714285
一本化,0.0,0.0
大政,0.0,0.16666666666666666
徹底,0.0,0.125
維持,0.0,1.8350396825396826
長門,0.0,0.0
飛脚,0.0,0.0
優位,0.0,0.2
開陽,0.0,0.0
終結,0.0,0.0
補充,0.0,0.0
伏見,0.0,0.0
砲撃,0.0,0.0
部隊,0.0,0.0
衆議,0.0,0.012658227848101266
イタリア,0.0,0.0
主導,0.0,0.6
議題,0.0,0.3333333333333333
辞表,0.0,0.7
作戦,0.0,0.0
入荷,0.0,0.0
支給,0.0,0.4154002026342452
諸経費,0.0,0.1
創刊,0.0,0.225
石井,0.0,0.14285714285714285
窓口,0.0,0.0
柳田,0.0,0.0
違反,0.0,0.41025641025641024
拝借,0.0,1.05515873015873
売渡,0.0,0.0
ねらい,0.0,0.1111111111111111
醤油,0.0,0.0
レベル,0.0,0.15873015873015872
本格化,0.0,0.1
具合,0.0,0.0
プロシア,0.0,0.0
欠損,0.0,0.2
途絶,0.0,0.07142857142857142
手続き,0.0,0.0
外務省,0.0,0.0
代弁,0.0,0.0
任命,0.0,1.566980286738351
労働条件,0.0,0.0
買い物,0.0,0.14285714285714285
取り締まり,0.0,0.0
適用,0.0,0.0
乗員,0.0,0.05555555555555555
いつも,0.0,0.0
ホテル,0.0,0.1111111111111111
囚人,0.0,0.0
人選,0.0,0.0
魅力,0.0,0.2361111111111111
肩書き,0.0,0.5
不詳,0.0,0.08333333333333333
一律,0.0,0.0
時々,0.0,0.29166666666666663
遂行,0.0,0.0
皮切り,0.0,0.7833333333333333
初代,0.0,0.3917316017316017
山村,0.0,0.0
治安,0.0,0.0
現況,0.0,0.0
府知事,0.0,0.0
各省,0.0,0.3333333333333333
交付,0.0,0.0
上石見,0.0,0.0
一斉,0.0,0.18229166666666666
発令,0.0,0.2095238095238095
位置づけ,0.0,0.09453781512605042
根幹,0.0,0.0
官僚,0.0,0.0
東久世,0.0,0.0
主任,0.0,0.3333333333333333
降伏,0.0,0.0
知事,0.0,0.3333333333333333
減額,0.0,0.1111111111111111
月給,0.0,0.1111111111111111
次官,0.0,0.037037037037037035
大蔵省,0.0,0.07142857142857142
岩村,0.0,0.0
一因,0.0,0.45
支払,0.0,0.47619047619047616
再三,0.0,0.0
総督府,0.0,0.0
小田,0.0,0.0
採掘,0.0,0.0
銀行,0.0,1.0361111111111112
当局,0.0,0.16666666666666666
公論,0.0,1.0588235294117647
仲介,0.0,0.0
聴取,0.0,0.0
月俸,0.0,0.14285714285714285
破綻,0.0,0.5
窮状,0.0,0.06666666666666667
戦線,0.0,0.0
天皇制,0.0,0.1111111111111111
低迷,0.0,0.0
実質,0.0,0.125
専任,0.0,0.047619047619047616
刑法,0.0,0.0
刷新,0.0,0.6242424242424243
判官,0.0,0.0
議事,0.0,0.8428571428571429
副総裁,0.0,0.0
興業,0.0,0.0
受け入れ,0.0,0.0
首脳,0.0,0.0
建議,0.0,0.5833333333333333
人事,0.0,0.0
青年,0.0,0.5169491525423728
公考,0.0,0.0
清水谷,0.0,0.0
引継,0.0,0.5331822505735548
布告,0.0,0.41666666666666663
会計,0.0,0.2638888888888889
担当者,0.0,0.0
木下,0.0,0.16666666666666666
ロワ,0.0,0.0
建言,0.0,0.0
事務局,0.0,0.5
判事,0.0,0.0
府事,0.0,0.0
従事,0.0,0.0
参事,0.0,0.1111111111111111
提灯,0.0,0.0
話し合い,0.0,0.0
帳簿,0.0,0.14285714285714285
育成,0.0,0.05555555555555555
但書,0.0,0.0
資金調達,0.0,0.0
引渡,0.0,0.0
事前,0.0,0.3333333333333333
保全,0.0,1.4444444444444444
金穀,0.0,0.0
不在,0.0,0.3333333333333333
圭介,0.0,0.0
歩兵,0.0,0.0
陣容,0.0,0.0
最新,0.0,0.16666666666666666
賃銭,0.0,0.0
万次郎,0.0,0.0
参謀,0.0,0.0
通知,0.0,0.038461538461538464
危険,0.0,0.510752688172043
トン数,0.0,0.0
周知,0.0,0.0
謙二郎,0.0,0.0
ベース,0.0,0.08333333333333333
呉服店,0.0,0.0
運送,0.0,0.3666666666666667
神宮,0.0,0.0
想像,0.0,0.5
鹿児島,0.0,0.0
身体,0.0,0.9242424242424243
拒否,0.0,0.14285714285714285
提案,0.0,1.2678571428571428
伍長,0.0,0.0
官員,0.0,0.375
公共,0.0,0.25
冒頭,0.0,0.0
リュー,0.0,0.0
国交,0.0,0.0
船数,0.0,0.0
マス,0.0,0.20666666666666667
弥四郎,0.0,0.0
不明,0.0,1.8521564890654987
上申書,0.0,0.07692307692307693
基調,0.0,0.030303030303030304
一員,0.0,0.0
翻訳,0.0,0.0
危機感,0.0,0.0
細則,0.0,0.8095238095238095
席上,0.0,0.0
事実上,0.0,0.2
思惑,0.0,0.0
即時,0.0,0.0
保証,0.0,0.30952380952380953
本人,0.0,0.6685714285714286
所持,0.0,0.16783216783216784
論理,0.0,0.08333333333333333
各々,0.0,0.15277777777777776
対日,0.0,0.045454545454545456
身元,0.0,0.25
救済,0.0,0.6538461538461537
街路,0.0,0.5833333333333333
ありさま,0.0,0.013333333333333334
損害,0.0,0.045454545454545456
日本国内,0.0,0.0
遊女,0.0,0.5
歌舞伎,0.0,0.0
斉藤,0.0,0.45
反応,0.0,0.0
予防,0.0,0.9722222222222223
恐れ,0.0,0.0
伝染病,0.0,0.2111111111111111
総体,0.0,0.26666666666666666
滝野,0.0,0.5
ドルフ,0.0,0.0
親書,0.0,0.0
蒸気船,0.0,0.0
モデル,0.0,0.0
条文,0.0,0.0
か条,0.0,0.2833333333333333
裁判,0.0,0.39285714285714285
犯罪,0.0,0.0
草案,0.0,0.0
碇泊,0.0,0.3333333333333333
文言,0.0,0.0
当面,0.0,0.013333333333333334
権威,0.0,0.0
正弘,0.0,0.0
マイル,0.0,0.06666666666666667
双方,0.0,0.1111111111111111
情報,0.0,0.0
ショック,0.0,0.0
協約,0.0,0.2
決意,0.0,0.058823529411764705
請求,0.0,0.0
延べ,0.0,0.0
積載,0.0,0.08680555555555555
運営,0.0,0.27091740651062685
経理,0.0,0.0
