noun,relative,dist
北緯,0.0,0.0
清水谷,0.0,0.0
引継,0.0,0.05303030303030303
布告,0.0,0.0
会計,0.0,0.09429824561403508
担当者,0.0,0.25
木下,0.0,0.11437908496732026
現況,0.0,0.0
公考,0.0,0.0
治安,0.0,0.0
入荷,0.0,0.0
徹底,0.0,0.0
維持,0.0,0.5
長門,0.0,0.0
飛脚,0.0,0.0
優位,0.0,0.0
開陽,0.0,0.0
山村,0.0,0.2653846153846154
終結,0.0,0.0
ロワ,0.0,0.0
建議,0.0,0.0
金穀,0.0,0.0
不在,0.0,0.0
圭介,0.0,0.0
歩兵,0.0,0.0
判事,0.0,0.0
実務,0.0,0.0
但書,0.0,0.0
青年,0.0,0.0
事務局,0.0,0.0
判官,0.0,0.0
議事,0.0,0.0
副総裁,0.0,0.0
興業,0.0,0.0
受け入れ,0.0,0.0
首脳,0.0,0.0
岡本,0.0,0.15384615384615385
人事,0.0,0.2
伏見,0.0,0.0
作戦,0.0,0.0
砲撃,0.0,0.0
千葉,0.0,0.5
急務,0.0,0.0
商取引,0.0,0.0
検閲,0.0,0.0
燃料,0.0,0.0
学習,0.0,0.0
使用人,0.0,0.07142857142857142
善太郎,0.0,0.0
補充,0.0,0.0
諸経費,0.0,0.0
労働条件,0.0,0.0
買い物,0.0,0.3333333333333333
取り締まり,0.0,0.3333333333333333
適用,0.0,0.04
乗員,0.0,0.0
いつも,0.0,0.25
囚人,0.0,0.0
配分,0.0,0.07142857142857142
評価,0.0,0.5343165606323501
クラス,0.0,0.0
部隊,0.0,0.0
衆議,0.0,0.0
イタリア,0.0,0.0
主導,0.0,0.0
議題,0.0,0.0
執行,0.0,0.0
辞表,0.0,0.0
大政,0.0,0.0
一本化,0.0,0.0
日増し,0.0,0.0
ついで,0.0,0.4412878787878788
損傷,0.0,0.0
貸渡,0.0,0.0
技師,0.0,0.08333333333333333
洋風,0.0,0.0
蓄積,0.0,0.0
旧幕,0.0,0.0
保全,0.0,0.0
ヨリ,0.0,0.0
事前,0.0,0.1
引渡,0.0,0.0
支払,0.0,0.3884615384615384
再三,0.0,0.08333333333333333
総督府,0.0,0.3333333333333333
小田,0.0,0.0
採掘,0.0,0.0
