noun,relative,dist
北緯,0.0,0.0
燃料,0.0,0.047619047619047616
生徒,0.0,0.21978021978021978
学習,0.0,0.0
使用人,0.0,0.09090909090909091
補充,0.0,0.5
支給,0.0,0.0
囚人,0.0,0.0
諸経費,0.0,0.0
労働条件,0.0,0.0
買い物,0.0,0.16785714285714284
取り締まり,0.0,0.43728343728343727
適用,0.0,0.2976190476190476
乗員,0.0,0.0
いつも,0.0,0.0
人選,0.0,0.06666666666666667
検閲,0.0,0.0
商取引,0.0,0.0
急務,0.0,0.07142857142857142
千葉,0.0,0.47619047619047616
執行,0.0,0.0
辞表,0.0,0.0
大政,0.0,0.0
一本化,0.0,0.3666666666666667
日増し,0.0,0.0
ついで,0.0,1.4262626262626261
損傷,0.0,0.5
初代,0.0,1.9157004830917874
貸渡,0.0,0.5595238095238095
洋風,0.0,0.5016233766233766
蓄積,0.0,0.2
旧幕,0.0,0.2
クラス,0.0,0.058823529411764705
評価,0.0,0.5
配分,0.0,0.03225806451612903
善太郎,0.0,0.0
技師,0.0,1.0
魅力,0.0,0.1111111111111111
肩書き,0.0,0.5
不詳,0.0,0.0
プロシア,0.0,0.0
欠損,0.0,0.0
途絶,0.0,0.09090909090909091
建言,0.0,0.0
最新,0.0,0.9102564102564101
賃銭,0.0,0.07692307692307693
万次郎,0.0,0.0
本格化,0.0,0.1111111111111111
質問,0.0,0.0
熱意,0.0,0.0
過当,0.0,0.0
船価,0.0,0.0
調べ,0.0,0.625
鯨漁,0.0,0.0
装置,0.0,0.0
投下,0.0,0.5555555555555556
ランス,0.0,0.1380952380952381
議題,0.0,0.0
レベル,0.0,0.16666666666666666
売渡,0.0,0.0
俸給,0.0,0.0
一律,0.0,0.16666666666666666
時々,0.0,0.6736111111111112
皮切り,0.0,0.08258258258258258
発言,0.0,0.6954887218045112
任命,0.0,0.5
代弁,0.0,0.1
醤油,0.0,0.5833333333333333
外務省,0.0,0.0
手続き,0.0,0.14215686274509803
創刊,0.0,1.8333333333333333
石井,0.0,0.0
窓口,0.0,0.045454545454545456
柳田,0.0,0.0
違反,0.0,0.06666666666666667
拝借,0.0,0.0
一覧,0.0,0.5
貸与,0.0,0.0
主導,0.0,1.4627039627039626
衆議,0.0,0.0
庶務,0.0,0.0
刷新,0.0,0.5
府事,0.0,0.07692307692307693
従事,0.0,0.6588235294117647
参事,0.0,0.5
提灯,0.0,0.09090909090909091
分課,0.0,0.0
談話,0.0,0.0
開庁,0.0,0.0
話し合い,0.0,0.2699346405228758
帳簿,0.0,0.0
演説,0.0,0.4197802197802198
育成,0.0,0.25
資金調達,0.0,0.2
陣容,0.0,0.0
刑法,0.0,0.0
専任,0.0,0.0
公論,0.0,0.16666666666666666
月給,0.0,0.06666666666666667
府知事,0.0,0.1111111111111111
各省,0.0,0.0
交付,0.0,0.1
上石見,0.0,0.0
一斉,0.0,0.0
発令,0.0,0.07692307692307693
位置づけ,0.0,0.6388888888888888
引渡,0.0,0.2
根幹,0.0,0.08333333333333333
官僚,0.0,0.0
東久世,0.0,0.0
官制,0.0,0.0
主任,0.0,0.1
降伏,0.0,0.0
知事,0.0,0.2777777777777778
減額,0.0,0.0
複数,0.0,0.0
事前,0.0,0.0
ヨリ,0.0,1.1
金穀,0.0,0.3333333333333333
会計,0.0,0.2
担当者,0.0,0.0
木下,0.0,0.0
現況,0.0,0.0625
治安,0.0,0.0
山村,0.0,0.0
徹底,0.0,0.0
布告,0.0,0.3111111111111111
維持,0.0,0.02857142857142857
飛脚,0.0,0.0
優位,0.0,0.7387163561076604
開陽,0.0,0.0
終結,0.0,0.037037037037037035
伏見,0.0,0.0
作戦,0.0,0.0
砲撃,0.0,0.0
長門,0.0,0.0
イタリア,0.0,0.0
引継,0.0,0.30396825396825394
公考,0.0,0.0
不在,0.0,0.1575757575757576
圭介,0.0,0.0
歩兵,0.0,0.0
判事,0.0,0.0
但書,0.0,0.0
人事,0.0,0.25
判官,0.0,0.0
清水谷,0.0,0.0
改称,0.0,1.344022644022644
副総裁,0.0,0.0
興業,0.0,0.0
受け入れ,0.0,0.16666666666666666
首脳,0.0,0.0
建議,0.0,0.0
青年,0.0,0.8194444444444444
ロワ,0.0,0.0
議事,0.0,0.0
投入,0.0,0.0
相馬,0.0,1.980952380952381
貸付,0.0,0.7462560386473429
到着,0.0,0.25
想像,0.0,0.3207227555053642
鹿児島,0.0,0.0
身体,0.0,0.0
拒否,0.0,0.14285714285714285
基調,0.0,0.58125
本人,0.0,0.12539184952978055
論理,0.0,0.0
モデル,0.0,0.0
条文,0.0,0.0
か条,0.0,0.0
裁判,0.0,0.06666666666666667
犯罪,0.0,0.16666666666666666
ともなう,0.0,0.28535353535353536
草案,0.0,0.0
責任者,0.0,0.5
全員,0.0,0.0625
事例,0.0,0.2686868686868687
神宮,0.0,0.0
事実上,0.0,0.0
思惑,0.0,0.3111111111111111
即時,0.0,0.125
提供,0.0,0.08333333333333333
利用者,0.0,0.2
冒頭,0.0,0.027777777777777776
公共,0.0,0.75
碇泊,0.0,0.0
官員,0.0,0.0
参謀,0.0,0.0
通知,0.0,0.14285714285714285
危険,0.0,0.3333333333333333
トン数,0.0,0.0
周知,0.0,0.0
謙二郎,0.0,0.0
ベース,0.0,0.2
伍長,0.0,0.0
具体,0.0,0.983270202020202
当面,0.0,0.3333333333333333
決意,0.0,0.0
滝野,0.0,0.5
大谷,0.0,0.0
歌舞伎,0.0,0.0
斉藤,0.0,1.3166666666666667
反応,0.0,0.0
公立,0.0,0.5
予防,0.0,0.6359649122807016
遊女,0.0,0.0
