noun,relative,dist
北緯,0.0,0.0
治安,0.0,0.0
山村,0.0,0.0
入荷,0.0,0.0
維持,0.0,0.3333333333333333
長門,0.0,0.0
飛脚,0.0,0.0
優位,0.0,0.0
現況,0.0,0.0
開陽,0.0,0.0
伏見,0.0,0.0
作戦,0.0,0.0
砲撃,0.0,0.0
部隊,0.0,0.5
衆議,0.0,0.0
イタリア,0.0,0.0
主導,0.0,0.0
終結,0.0,0.13703703703703704
議題,0.0,0.0
木下,0.0,0.0
会計,0.0,0.0
但書,0.0,0.0
事務局,0.0,0.25
人事,0.0,0.0
判官,0.0,0.0
改称,0.0,0.27692307692307694
議事,0.0,0.0
副総裁,0.0,0.125
担当者,0.0,0.004545454545454545
興業,0.0,0.5833333333333334
岡本,0.0,0.41025641025641024
建議,0.0,0.0
青年,0.0,0.0
ロワ,0.0,0.0
公考,0.0,0.0
清水谷,0.0,0.0
布告,0.0,0.0
首脳,0.0,0.1111111111111111
執行,0.0,0.0
辞表,0.0,0.0
大政,0.0,0.0
補充,0.0,0.0
支給,0.0,0.0
囚人,0.0,0.0
諸経費,0.0,0.0
労働条件,0.0,0.0
取り締まり,0.0,0.0
適用,0.0,0.5
使用人,0.0,0.004807692307692308
乗員,0.0,0.0
ホテル,0.0,0.0
人選,0.0,0.0
初代,0.0,0.2121501272264631
魅力,0.0,0.0
肩書き,0.0,0.0
不詳,0.0,0.2
俸給,0.0,0.0
いつも,0.0,0.25
学習,0.0,0.0
生徒,0.0,0.375
燃料,0.0,0.12142857142857143
一本化,0.0,0.0
日増し,0.0,0.0
ついで,0.0,0.21851851851851853
損傷,0.0,0.0
貸渡,0.0,0.0
技師,0.0,0.0
洋風,0.0,0.0
蓄積,0.0,0.0
旧幕,0.0,0.0
クラス,0.0,0.07142857142857142
評価,0.0,0.14285714285714285
配分,0.0,0.0
善太郎,0.0,0.0
千葉,0.0,0.0
急務,0.0,0.0
商取引,0.0,0.0
検閲,0.0,0.0
実務,0.0,0.0
一律,0.0,0.0
判事,0.0,0.0
圭介,0.0,0.0
当局,0.0,0.05555555555555555
残金,0.0,0.0
仲介,0.0,0.0
実質,0.0,0.5
聴取,0.0,0.09090909090909091
月俸,0.0,0.0
破綻,0.0,0.0
採掘,0.0,0.0
窮状,0.0,0.3333333333333333
天皇制,0.0,0.0
低迷,0.0,0.043478260869565216
布達,0.0,0.0
一因,0.0,0.1
岩村,0.0,0.0
大蔵省,0.0,0.0
次官,0.0,0.0
戦線,0.0,0.0
府知事,0.0,0.0
小田,0.0,0.0
再三,0.0,0.0
大隊,0.0,0.0
伝習,0.0,0.0
亀之助,0.0,0.0
嘆願書,0.0,0.0
中立,0.0,0.0
隆盛,0.0,0.0
一覧表,0.0,0.0030581039755351682
総督府,0.0,0.0
小隊,0.0,0.0
加盟,0.0,0.0
本陣,0.0,0.0
同盟,0.0,0.5
羽越,0.0,0.0
上京,0.0,0.25
請求,0.0,0.16666666666666666
支払,0.0,0.24285714285714285
変革,0.0,0.0
各省,0.0,0.0
交付,0.0,0.0
上石見,0.0,0.0
提灯,0.0,0.0
分課,0.0,0.0
談話,0.0,1.0909090909090908
開庁,0.0,0.0
話し合い,0.0,0.0
帳簿,0.0,0.0
演説,0.0,0.41666666666666663
参事,0.0,0.0
育成,0.0,0.0
陣容,0.0,0.0
引渡,0.0,0.0
事前,0.0,0.008130081300813009
ヨリ,0.0,0.07692307692307693
保全,0.0,0.0
金穀,0.0,0.0
不在,0.0,0.0
資金調達,0.0,0.0
従事,0.0,0.0
府事,0.0,0.0
刷新,0.0,0.0
一斉,0.0,0.4444444444444444
発令,0.0,0.0
位置づけ,0.0,0.0
根幹,0.0,0.0
複数,0.0,0.0
官僚,0.0,0.0
東久世,0.0,0.0
官制,0.0,0.0
主任,0.0,0.0
降伏,0.0,0.20202020202020202
知事,0.0,0.0
減額,0.0,0.0
月給,0.0,0.0
公論,0.0,0.0
専任,0.0,0.0
刑法,0.0,0.0
庶務,0.0,0.0
歩兵,0.0,0.0
時々,0.0,0.0
遂行,0.0,0.0
皮切り,0.0,0.047619047619047616
積載,0.0,0.0
国旗,0.0,0.0
延べ,0.0,0.5
ドルフ,0.0,0.0
リュー,0.0,0.0
大日本,0.0,0.058823529411764705
国交,0.0,0.2
購入,0.0,0.060142711518858305
船数,0.0,0.0
弥四郎,0.0,0.0
不明,0.0,0.014492753623188406
上申書,0.0,0.0
中等,0.0,0.0
一員,0.0,0.1
保証,0.0,0.16993464052287582
翻訳,0.0,0.0
マス,0.0,0.0
危機感,0.0,0.05555555555555555
司令官,0.0,0.0
船客,0.0,0.0
高島,0.0,0.0
はと,0.0,0.5928030303030303
荒木,0.0,0.0
中核,0.0,0.0
状況下,0.0,0.8333333333333333
増強,0.0,0.14583333333333331
増築,0.0,0.15441176470588236
ロジャーズ,0.0,0.0
用船,0.0,0.0
飼料,0.0,0.0
牛肉,0.0,0.0
在日,0.0,0.0
当該,0.0,0.0
サンフランシスコ,0.0,0.0
夫人,0.0,0.0
内実,0.0,0.0
ウィル,0.0,0.0
終了,0.0,0.14814814814814814
細則,0.0,0.0
席上,0.0,0.16666666666666666
鹿児島,0.0,0.0
身体,0.0,0.0
拒否,0.0,0.0625
提案,0.0,0.14285714285714285
基調,0.0,0.0
所持,0.0,0.0
論理,0.0,0.0
想像,0.0,0.3333333333333333
モデル,0.0,0.0
か条,0.0,0.0
裁判,0.0,0.16666666666666666
犯罪,0.0,0.5
ともなう,0.0,0.0
草案,0.0,0.0
碇泊,0.0,0.0
具体,0.0,0.2
条文,0.0,0.0
責任者,0.0,0.0
事例,0.0,0.0
神宮,0.0,0.0
事実上,0.0,0.0
思惑,0.0,0.0
即時,0.0,0.0
提供,0.0,0.41666666666666663
冒頭,0.0,0.0
公共,0.0,0.37896825396825395
官員,0.0,0.0
伍長,0.0,0.0
参謀,0.0,0.0
通知,0.0,0.0
危険,0.0,0.0
トン数,0.0,0.0
周知,0.0,0.0
謙二郎,0.0,0.0
ベース,0.0,0.0
