noun,relative,dist
北緯,0.0,0.0
現況,0.0,0.1
治安,0.0,0.0
山村,0.0,0.25
入荷,0.0,0.0
徹底,0.0,0.16666666666666666
維持,0.0,0.043478260869565216
長門,0.0,0.16666666666666666
飛脚,0.0,0.0
優位,0.0,0.41666666666666663
開陽,0.0,0.0
伏見,0.0,0.0
作戦,0.0,0.0
砲撃,0.0,0.0
部隊,0.0,0.0
衆議,0.0,0.3333333333333333
木下,0.0,0.0
担当者,0.0,0.013888888888888888
会計,0.0,0.0
布告,0.0,0.41666666666666663
実務,0.0,0.0
但書,0.0,0.5
事務局,0.0,0.0
人事,0.0,0.0
判官,0.0,0.25
議事,0.0,1.4444444444444444
副総裁,0.0,0.0
イタリア,0.0,0.0
興業,0.0,0.0
首脳,0.0,0.0
岡本,0.0,0.5769230769230769
青年,0.0,0.0
ロワ,0.0,0.0
公考,0.0,0.0
清水谷,0.0,0.0
引継,0.0,0.16666666666666666
受け入れ,0.0,0.0
判事,0.0,0.0
主導,0.0,0.041666666666666664
執行,0.0,0.0
補充,0.0,0.0
支給,0.0,0.14285714285714285
囚人,0.0,0.0
諸経費,0.0,0.5
労働条件,0.0,0.0
買い物,0.0,0.5833333333333333
適用,0.0,0.0
乗員,0.0,0.0
いつも,0.0,0.0
ホテル,0.0,0.0
人選,0.0,0.25
魅力,0.0,0.16666666666666666
肩書き,0.0,0.0
不詳,0.0,0.04
俸給,0.0,0.14285714285714285
使用人,0.0,0.1111111111111111
学習,0.0,0.0
生徒,0.0,0.0
燃料,0.0,0.0
辞表,0.0,0.0
大政,0.0,0.0
一本化,0.0,0.0
日増し,0.0,0.0
損傷,0.0,0.0
貸渡,0.0,0.27692307692307694
技師,0.0,0.0
議題,0.0,0.0
洋風,0.0,0.0
クラス,0.0,0.0
評価,0.0,0.5333333333333333
配分,0.0,0.05263157894736842
千葉,0.0,0.0
急務,0.0,0.20192307692307693
商取引,0.0,0.0
検閲,0.0,0.0
蓄積,0.0,0.14285714285714285
歩兵,0.0,0.0
圭介,0.0,0.0
不在,0.0,0.0
小田,0.0,0.0
採掘,0.0,0.0
当局,0.0,0.0
残金,0.0,0.0
仲介,0.0,0.3333333333333333
実質,0.0,0.09090909090909091
聴取,0.0,0.0
月俸,0.0,0.0
破綻,0.0,0.0
窮状,0.0,0.0
戦線,0.0,0.0
天皇制,0.0,0.0
低迷,0.0,0.0
一因,0.0,0.0
岩村,0.0,0.0
総督府,0.0,0.0
再三,0.0,0.0
請求,0.0,0.3333333333333333
上京,0.0,0.0
遊撃隊,0.0,0.0
土方,0.0,0.3333333333333333
連隊,0.0,0.0
屯所,0.0,0.0
大隊,0.0,0.0
伝習,0.0,0.0
亀之助,0.0,0.0
大蔵省,0.0,0.3333333333333333
嘆願書,0.0,0.5
一覧表,0.0,0.11036036036036036
小隊,0.0,0.0
変革,0.0,0.0
加盟,0.0,0.34285714285714286
本陣,0.0,0.0
同盟,0.0,0.3333333333333333
羽越,0.0,0.0
中立,0.0,0.0
次官,0.0,0.3333333333333333
府知事,0.0,0.0
各省,0.0,0.0
従事,0.0,0.6468253968253967
参事,0.0,0.0
提灯,0.0,0.0
分課,0.0,0.5
談話,0.0,0.0
開庁,0.0,0.16666666666666666
話し合い,0.0,0.0
府事,0.0,0.0
帳簿,0.0,0.0
育成,0.0,0.07142857142857142
資金調達,0.0,0.0
陣容,0.0,0.16666666666666666
引渡,0.0,0.0
事前,0.0,0.005917159763313609
保全,0.0,0.0
金穀,0.0,0.0
演説,0.0,0.0
一律,0.0,0.0
刷新,0.0,0.0
専任,0.0,0.1111111111111111
交付,0.0,0.0
上石見,0.0,0.0
一斉,0.0,0.0
発令,0.0,0.0
位置づけ,0.0,0.041666666666666664
根幹,0.0,0.0
複数,0.0,0.0
刑法,0.0,0.0
官僚,0.0,0.0
官制,0.0,0.0
主任,0.0,0.0
降伏,0.0,0.0
知事,0.0,0.0
減額,0.0,0.0
月給,0.0,0.0
公論,0.0,0.7499999999999999
東久世,0.0,0.0
彰義,0.0,0.0
時々,0.0,0.07692307692307693
発言,0.0,0.4
上申書,0.0,0.3333333333333333
中等,0.0,0.125
一員,0.0,0.0
保証,0.0,0.23376623376623376
翻訳,0.0,0.0
危機感,0.0,0.047619047619047616
細則,0.0,0.0
席上,0.0,0.0
事実上,0.0,0.09090909090909091
思惑,0.0,0.0
即時,0.0,0.0
利用者,0.0,0.0
冒頭,0.0,0.0
官員,0.0,0.0
伍長,0.0,0.0
不明,0.0,0.6696969696969697
弥四郎,0.0,0.0
マス,0.0,0.05263157894736842
船数,0.0,0.125
飼料,0.0,0.0
牛肉,0.0,0.07692307692307693
在日,0.0,0.0
当該,0.0,0.2
サンフランシスコ,0.0,0.0
夫人,0.0,0.0
内実,0.0,0.0
参謀,0.0,0.0
ロジャーズ,0.0,0.0
積載,0.0,0.5
国旗,0.0,0.0
延べ,0.0,0.0
ドルフ,0.0,0.0
リュー,0.0,0.0
大日本,0.0,0.0
国交,0.0,0.0
司令官,0.0,0.0
ウィル,0.0,0.2
通知,0.0,0.14285714285714285
周知,0.0,0.0
犯罪,0.0,0.0
ともなう,0.0,0.0625
草案,0.0,0.0
碇泊,0.0,0.1
具体,0.0,1.0357142857142856
当面,0.0,0.0
決意,0.0,0.0
権威,0.0,0.09090909090909091
正弘,0.0,0.0
マイル,0.0,0.0
双方,0.0,0.0
情報,0.0,0.0
具体的,0.0,0.4642857142857143
ショック,0.0,0.1
協約,0.0,0.0
裁判,0.0,0.0
か条,0.0,0.0
条文,0.0,0.0
モデル,0.0,0.0
謙二郎,0.0,0.0
ベース,0.0,0.0
呉服店,0.0,0.0
運送,0.0,0.6
神宮,0.0,0.0
事例,0.0,0.8894230769230769
全員,0.0,0.004424778761061947
トン数,0.0,0.1111111111111111
責任者,0.0,0.0
想像,0.0,0.0
鹿児島,0.0,0.0
身体,0.0,0.25
拒否,0.0,0.14285714285714285
基調,0.0,0.0
所持,0.0,0.2
論理,0.0,0.0
到着,0.0,0.0
用船,0.0,0.0
増築,0.0,0.14285714285714285
状況下,0.0,0.16666666666666666
万次郎,0.0,0.0
質問,0.0,0.0
ランス,0.0,0.08333333333333333
熱意,0.0,0.08333333333333333
過当,0.0,0.26785714285714285
船価,0.0,0.0
鯨漁,0.0,0.0
装置,0.0,0.0
投下,0.0,0.0
投入,0.0,0.2
貸付,0.0,0.05263157894736842
進捗,0.0,0.0
沢村,0.0,0.0
自費,0.0,0.0
改訂,0.0,0.0
賃銭,0.0,0.5909090909090909
最新,0.0,0.0
途絶,0.0,0.0
欠損,0.0,0.0
任命,0.0,0.0
代弁,0.0,0.0
外務省,0.0,0.25
一覧,0.0,0.5301405801405801
手続き,0.0,0.0
石井,0.0,0.0
窓口,0.0,0.0
軍事,0.0,0.0
柳田,0.0,0.5
拝借,0.0,0.24358974358974358
売渡,0.0,0.0
ねらい,0.0,0.0
レベル,0.0,0.0
本格化,0.0,0.0
具合,0.0,0.07142857142857142
プロシア,0.0,0.0
違反,0.0,0.1111111111111111
遠隔地,0.0,0.0
運営,0.0,0.14285714285714285
経理,0.0,0.0
直航,0.0,0.5
関わり,0.0,0.0
経由,0.0,0.09090909090909091
納税,0.0,0.0
基幹,0.0,0.3333333333333333
利害,0.0,0.08333333333333333
経済上,0.0,1.0833333333333333
融資,0.0,0.05
工事費,0.0,0.1111111111111111
支障,0.0,0.05555555555555555
ポンド,0.0,0.16666666666666666
プラン,0.0,0.0
現在地,0.0,0.125
はと,0.0,0.11497211497211497
荒木,0.0,0.0
中核,0.0,0.24761904761904763
失敗,0.0,0.25
遂行,0.0,0.0
運用,0.0,0.3333333333333333
方式,0.0,0.005917159763313609
投資,0.0,0.17410714285714285
再開発,0.0,0.07142857142857142
採算,0.0,0.0
貸付金,0.0,0.0
損益,0.0,0.0
支出,0.0,1.1666666666666665
決算,0.0,0.0
変容,0.0,0.24358974358974358
削減,0.0,0.0
慶喜,0.0,0.0
自立,0.0,0.043478260869565216
大網,0.0,0.0
促進,0.0,0.2222222222222222
石数,0.0,0.0
届出,0.0,0.6428571428571428
緩和,0.0,0.0
前出,0.0,0.25555555555555554
蒸気船,0.0,0.0
渋沢,0.0,0.0
妥協,0.0,0.0
改選,0.0,0.0
選出,0.0,0.21978021978021978
互選,0.0,0.0
選挙人,0.0,0.0
諮問,0.0,0.25
督促,0.0,0.0
不動産,0.0,0.0
公布,0.0,0.9583333333333333
起工,0.0,0.0
自主,0.0,0.0
自治区,0.0,0.0
富岡,0.0,0.0
科目,0.0,0.0
議会,0.0,0.6166666666666667
総則,0.0,0.0
裁定,0.0,0.0
つぎ,0.0,0.0
府県会,0.0,0.0
参政権,0.0,0.0
施行後,0.0,0.0
照会,0.0,0.09090909090909091
掲載,0.0,1.5004901960784314
北溟,0.0,0.0
社長,0.0,0.2
弁士,0.0,0.0
代表的,0.0,0.0
公正,0.0,0.0
民権,0.0,0.0
国会,0.0,0.625
気運,0.0,0.0
統合,0.0,0.0
十字街,0.0,0.009259259259259259
得票,0.0,0.0
就任,0.0,0.2
桜庭,0.0,0.5909090909090909
頂点,0.0,0.24347826086956523
投書,0.0,0.0
協同,0.0,0.6111111111111112
辞職,0.0,0.0
芸妓,0.0,0.4444444444444444
三業,0.0,0.5
証券,0.0,0.7575757575757576
地方税,0.0,0.6
国税,0.0,0.0
職種,0.0,0.16666666666666666
税額,0.0,0.5
地価,0.0,0.6266233766233766
先祖,0.0,0.003937007874015748
費目,0.0,0.0
他府県,0.0,0.16666666666666666
百十三,0.0,0.0
正副,0.0,0.0
返済,0.0,0.0
主眼,0.0,0.0
修繕費,0.0,0.0
便所,0.0,0.0
変則,0.0,0.0
割当,0.0,0.2
選挙法,0.0,0.0
組長,0.0,0.06666666666666667
間接,0.0,0.3611111111111111
借家,0.0,0.14285714285714285
埋め立て,0.0,0.25
つながり,0.0,0.0
教育費,0.0,0.0
祝賀会,0.0,0.0
自治制,0.0,0.0
国費,0.0,0.0
授業料,0.0,0.0
半期,0.0,0.0
告示,0.0,0.5
戸数割,0.0,0.5
町内会,0.0,0.0
地代,0.0,0.0
事業費,0.0,0.0
原案,0.0,0.6666666666666666
当選者,0.0,0.0
議長,0.0,0.25
政党,0.0,0.0
罰金,0.0,0.0
友人,0.0,0.0
新聞社,0.0,0.7
発刊,0.0,0.05555555555555555
社主,0.0,0.2
協調,0.0,0.0
論調,0.0,0.0
憲法,0.0,0.0
排撃,0.0,0.0
高まり,0.0,0.17424242424242425
日日,0.0,0.047619047619047616
記者,0.0,0.125
聴衆,0.0,0.0
期成,0.0,0.0
自由党,0.0,0.5
本部,0.0,0.16666666666666666
内閣,0.0,0.1111111111111111
管理局,0.0,0.0
県知事,0.0,0.0
宮崎,0.0,0.0
理事官,0.0,0.0
実業,0.0,0.20833333333333331
近代的,0.0,0.3333333333333333
節減,0.0,0.3655913978494624
立憲,0.0,0.0
愛国,0.0,0.0
江湖,0.0,0.14285714285714285
本社,0.0,0.25263157894736843
懇親会,0.0,0.058823529411764705
届け,0.0,0.31666666666666665
懇談会,0.0,0.0
栄太郎,0.0,0.25
小橋,0.0,0.25
駒吉,0.0,0.0
中心人物,0.0,0.058823529411764705
大隈,0.0,1.0
陳情,0.0,0.8333333333333333
世間,0.0,0.2
目前,0.0,0.0
満期,0.0,0.0
社説,0.0,0.0
物件,0.0,0.0625
閣議,0.0,0.0
関西,0.0,0.0
任期,0.0,0.14285714285714285
憲政,0.0,0.0
年齢,0.0,0.0
答弁,0.0,0.0
成熟,0.0,0.0
欠席,0.0,0.0
定数,0.0,0.0
平田,0.0,0.4928321678321678
修正,0.0,0.3333333333333333
出席,0.0,0.14285714285714285
賛成,0.0,0.3333333333333333
正右衛門,0.0,0.16666666666666666
食塩,0.0,0.0
商社,0.0,0.0
公衆,0.0,0.1111111111111111
五島,0.0,0.0
使命,0.0,0.06666666666666667
活用,0.0,0.29166666666666663
人道,0.0,0.0
発起,0.0,0.5844988344988346
報道,0.0,0.4956709956709956
定款,0.0,0.18285714285714286
引用,0.0,0.5
世論,0.0,0.0
提携,0.0,0.07692307692307693
発起人,0.0,0.579004329004329
広業,0.0,0.07142857142857142
半民,0.0,0.0
半官,0.0,0.0
広瀬,0.0,0.0
社員,0.0,0.5
解散,0.0,0.11309523809523808
親睦,0.0,0.05555555555555555
投票,0.0,0.08333333333333333
同港,0.0,0.0625
前提,0.0,0.0
専務,0.0,0.0
義勇,0.0,0.0
前身,0.0,0.25
兵部,0.0,0.0
招魂,0.0,0.0
見送り,0.0,0.0
カノン,0.0,0.0
会議所,0.0,1.11025641025641
解除,0.0,0.0
勧告,0.0,0.0
会合,0.0,0.07692307692307693
監視,0.0,0.0
新道,0.0,0.0
清隆,0.0,0.18803418803418803
通俊,0.0,0.0
菊池,0.0,0.5
函衛,0.0,0.0
学務,0.0,0.1
改定,0.0,0.0
中判,0.0,0.25
官庁,0.0,0.7
会計課,0.0,0.0
制定,0.0,1.0269230769230768
正院,0.0,0.0
歩調,0.0,0.0
分掌,0.0,0.0
海関,0.0,0.0
退任,0.0,0.0
本庁,0.0,0.5833333333333333
章程,0.0,0.0
置県,0.0,0.0
廃藩,0.0,0.0
志願者,0.0,0.0
邏卒,0.0,0.0
司法,0.0,0.25
陸海軍,0.0,0.0
避難,0.0,0.0
戦況,0.0,0.0
荒井,0.0,0.0
軍用,0.0,0.0
大蔵,0.0,0.4583333333333333
引揚げ,0.0,0.0
デュース,0.0,0.0
兵隊,0.0,0.0
沈没,0.0,0.16666666666666666
表明,0.0,0.5
援護,0.0,0.0
咸臨,0.0,0.0
蟠龍,0.0,0.0
回天,0.0,0.0
朝陽,0.0,0.0
決着,0.0,0.05263157894736842
海陸,0.0,0.0625
三上,0.0,0.0
きっかけ,0.0,0.0
分隊,0.0,0.0
黒田,0.0,0.9963675213675214
連携,0.0,0.0
野村,0.0,0.07142857142857142
春日,0.0,0.5
甲鉄,0.0,0.0
前金,0.0,0.0
この頃,0.0,0.5833333333333333
応援,0.0,0.0
稼業,0.0,0.0
撤廃,0.0,0.0
訓練,0.0,0.0
公選,0.0,0.14285714285714285
宣言,0.0,0.0
働きかけ,0.0,0.0
請願書,0.0,0.39285714285714285
声明書,0.0,0.0
連載,0.0,0.0
管下,0.0,0.16666666666666666
外事,0.0,0.5
郡区,0.0,0.0
不定,0.0,0.0
本文,0.0,0.5
防止,0.0,0.05263157894736842
意欲,0.0,0.08333333333333333
逓送,0.0,0.0
郵船,0.0,1.125
手形,0.0,0.0
料金,0.0,0.5
逓信,0.0,0.0
商務,0.0,0.07142857142857142
郵便,0.0,0.4242424242424242
判決,0.0,0.0
警察官,0.0,0.0
警視,0.0,0.0
広島,0.0,0.5
運行,0.0,0.0
北海道内,0.0,0.0
郵便局,0.0,0.4242424242424242
架設,0.0,0.0
務所,0.0,0.492020202020202
明確化,0.0,0.0
分担,0.0,0.0
見直し,0.0,0.0
公認,0.0,0.0
郡長,0.0,0.0
常野,0.0,0.41666666666666663
名古屋,0.0,0.09090909090909091
編制,0.0,0.0
見出し,0.0,0.0
新任,0.0,0.0
退職,0.0,0.0
試験場,0.0,0.0
幹線,0.0,0.0
開通,0.0,0.2
分局,0.0,0.0
編入,0.0,0.5
地方裁判所,0.0,0.0
控訴,0.0,0.0
監獄,0.0,0.0
県庁,0.0,0.0
有竹,0.0,0.0
為基,0.0,0.3333333333333333
時任,0.0,0.8749999999999999
詰め,0.0,0.17258382642998027
士族,0.0,0.0
視点,0.0,0.0
関係書類,0.0,0.2
桐野,0.0,0.07692307692307693
中隊,0.0,0.0
大多数,0.0,0.025
出身者,0.0,0.0
開催,0.0,2.6166666666666663
協和,0.0,0.3333333333333333
内職,0.0,0.3333333333333333
役場,0.0,0.0
募集,0.0,0.7447552447552448
近所,0.0,0.1
替え,0.0,1.2935897435897437
定額,0.0,0.0
検事,0.0,0.0
法規,0.0,0.0
水上,0.0,0.08333333333333333
等級,0.0,0.5178571428571428
分署,0.0,0.0
警察署,0.0,0.25757575757575757
小区,0.0,0.8333333333333333
総合,0.0,0.25
巡査,0.0,0.0
電信,0.0,0.0
地券,0.0,0.0
懲役,0.0,0.0
違反者,0.0,0.1111111111111111
条例,0.0,0.3333333333333333
総長,0.0,0.0
区長,0.0,1.176190476190476
警部,0.0,0.0
文言,0.0,0.1111111111111111
親書,0.0,0.0
日本国内,0.0,0.0
幕領,0.0,0.0
例祭,0.0,0.0
日雇い,0.0,0.0
家作,0.0,0.0
職人,0.0,0.6666666666666666
町並み,0.0,0.07142857142857142
村々,0.0,0.0
生産量,0.0,0.0
増減,0.0,0.0
建網,0.0,0.0
発行,0.0,1.5538220551378445
勃興,0.0,0.0
肥料,0.0,0.3611111111111111
対応,0.0,1.162121212121212
取組,0.0,0.3333333333333333
観音,0.0,0.0
長屋,0.0,0.02631578947368421
法華,0.0,0.0
大石,0.0,0.0
捻出,0.0,0.0
築城,0.0,0.0
欠乏,0.0,0.13257575757575757
紛議,0.0,0.05263157894736842
捕鯨船,0.0,0.0
送還,0.0,0.0
航行,0.0,0.25
買付,0.0,0.0
翌月,0.0,0.0
停泊,0.0,0.0
衝突,0.0,0.125
概略,0.0,0.0
大洋,0.0,0.0
清水,0.0,0.0
興行,0.0,0.0
免許,0.0,0.1290160642570281
小右衛門,0.0,0.0
焦点,0.0,0.3333333333333333
三重,0.0,0.0
契約,0.0,0.5447802197802198
教導,0.0,0.0
か村,0.0,0.0
改善,0.0,0.4692982456140351
菓子,0.0,0.0070921985815602835
裁縫,0.0,0.0
島田,0.0,0.0
果物,0.0,0.16666666666666666
過ぎ,0.0,0.24347826086956523
芸者,0.0,0.7
遊び,0.0,0.0
子供たち,0.0,0.0
体裁,0.0,0.0
繁忙,0.0,0.0
例外,0.0,0.0
業態,0.0,0.3333333333333333
推進,0.0,0.0
幕閣,0.0,0.0
手配,0.0,0.0
軌道,0.0,0.03125
抵抗,0.0,0.0
船名,0.0,0.0
競売,0.0,0.0
追放,0.0,0.0
異人,0.0,0.5
没落,0.0,0.0
藤野,0.0,0.3075757575757576
総計,0.0,0.14285714285714285
総裁,0.0,0.0
出納,0.0,0.0
職制,0.0,0.0
引継ぎ,0.0,0.16666666666666666
貸金,0.0,0.07692307692307693
水野,0.0,0.0
藤田,0.0,0.0
配慮,0.0,0.0
施政,0.0,0.0
永井,0.0,0.0
住職,0.0,0.0
兵士,0.0,0.0
平山,0.0,0.0
責任,0.0,0.0
署名,0.0,0.0
ミシシッピー,0.0,0.0
ポーハタン,0.0,0.0
要請,0.0,0.1
サケ,0.0,0.0
船長,0.0,0.1111111111111111
午前,0.0,0.7428571428571429
帆船,0.0,0.976190476190476
同日,0.0,0.0
見通し,0.0,0.16666666666666666
葬儀,0.0,0.0
神仏,0.0,0.3333333333333333
見物,0.0,0.0
翌日,0.0,0.225
ウイリアムズ,0.0,0.0
挨拶,0.0,0.41666666666666663
約定,0.0,0.07142857142857142
本務,0.0,0.0
任務,0.0,0.0
需用,0.0,0.25
以内,0.0,0.0
遊歩,0.0,0.0
名簿,0.0,0.14285714285714285
出席者,0.0,0.0
小間物,0.0,0.0
かた,0.0,0.288034188034188
条項,0.0,0.0
効力,0.0,0.0
一応,0.0,0.5526315789473684
旗艦,0.0,0.0
漢文,0.0,0.0
見学,0.0,0.0
退去,0.0,0.3333333333333333
今回,0.0,0.6027777777777777
山の手,0.0,0.4087301587301587
アメリカ人,0.0,0.0
全文,0.0,0.0
牧師,0.0,0.0
浅草,0.0,0.0
幼児,0.0,0.0
商家,0.0,0.0
山崎,0.0,0.0
社中,0.0,0.14285714285714285
結社,0.0,0.0
和親,0.0,0.05555555555555555
郷里,0.0,0.029411764705882353
