noun,relative,dist
北緯,0.0,0.0
山村,0.0,0.14285714285714285
入荷,0.0,0.0
徹底,0.0,0.0
維持,0.0,0.19444444444444442
長門,0.0,0.0
飛脚,0.0,0.0
優位,0.0,0.0
治安,0.0,0.0
開陽,0.0,0.0
伏見,0.0,0.0
作戦,0.0,0.0
砲撃,0.0,0.0
衆議,0.0,0.0
イタリア,0.0,0.0
主導,0.0,0.07142857142857142
議題,0.0,0.0
終結,0.0,0.0
執行,0.0,0.0
現況,0.0,0.0
担当者,0.0,0.0
事務局,0.0,0.0
人事,0.0,0.0
判官,0.0,0.0
議事,0.0,0.29166666666666663
副総裁,0.0,0.0
興業,0.0,0.0
受け入れ,0.0,0.07142857142857142
木下,0.0,0.05555555555555555
首脳,0.0,0.0
青年,0.0,0.3333333333333333
ロワ,0.0,0.0
公考,0.0,0.0
清水谷,0.0,0.0
引継,0.0,0.02
布告,0.0,0.0
会計,0.0,0.05555555555555555
建議,0.0,0.125
辞表,0.0,0.0
大政,0.0,0.0
一本化,0.0,0.0
囚人,0.0,0.0
諸経費,0.0,0.0
労働条件,0.0,0.0
買い物,0.0,0.0
取り締まり,0.0,0.0
適用,0.0,0.0
乗員,0.0,0.0
支給,0.0,0.014285714285714285
いつも,0.0,0.0
人選,0.0,0.0
魅力,0.0,0.0
肩書き,0.0,0.0
不詳,0.0,0.0
俸給,0.0,0.0
一律,0.0,0.0
時々,0.0,0.0
ホテル,0.0,0.0
補充,0.0,0.0
使用人,0.0,0.0
学習,0.0,0.0
日増し,0.0,0.0
ついで,0.0,0.3333333333333333
損傷,0.0,0.0
貸渡,0.0,0.0
技師,0.0,0.0
洋風,0.0,0.0
蓄積,0.0,0.0
旧幕,0.0,0.06666666666666667
クラス,0.0,0.0
評価,0.0,0.625
配分,0.0,0.0
善太郎,0.0,0.0
千葉,0.0,0.1111111111111111
急務,0.0,0.0
商取引,0.0,0.0
検閲,0.0,0.0
燃料,0.0,0.0
但書,0.0,0.0
遂行,0.0,0.0
実務,0.0,0.0
歩兵,0.0,0.0
小田,0.0,0.0
銀行,0.0,0.0
当局,0.0,0.0
残金,0.0,0.0
仲介,0.0,0.0
実質,0.0,0.75
聴取,0.0,0.0
総督府,0.0,0.0
月俸,0.0,0.0
窮状,0.0,0.09090909090909091
戦線,0.0,0.0
天皇制,0.0,0.0
低迷,0.0,0.0
布達,0.0,0.125
一因,0.0,0.0
岩村,0.0,0.0
破綻,0.0,0.0
大蔵省,0.0,0.0
再三,0.0,0.0
請求,0.0,0.0
常備,0.0,0.0
屯所,0.0,0.0
大隊,0.0,0.0
伝習,0.0,0.0
亀之助,0.0,0.0
嘆願書,0.0,0.0
中立,0.0,0.0
支払,0.0,0.09090909090909091
隆盛,0.0,0.09090909090909091
小隊,0.0,0.0
変革,0.0,0.0
加盟,0.0,0.0
本陣,0.0,0.0
同盟,0.0,0.3333333333333333
羽越,0.0,0.0
上京,0.0,0.30952380952380953
一覧表,0.0,0.0
府知事,0.0,0.0
各省,0.0,0.0
交付,0.0,0.0
参事,0.0,0.0
提灯,0.0,0.0
分課,0.0,0.0
開庁,0.0,0.0
話し合い,0.0,0.0
帳簿,0.0,0.05263157894736842
育成,0.0,0.625
従事,0.0,0.0
資金調達,0.0,0.0
引渡,0.0,0.0
事前,0.0,0.0
ヨリ,0.0,0.0
保全,0.0,0.0
金穀,0.0,0.0
不在,0.0,0.16666666666666666
圭介,0.0,0.0
陣容,0.0,0.0
府事,0.0,0.0
刷新,0.0,0.0
庶務,0.0,0.0
上石見,0.0,0.0
一斉,0.0,0.0
発令,0.0,0.0
位置づけ,0.0,0.0
根幹,0.0,0.0
複数,0.0,0.1
官僚,0.0,0.0
東久世,0.0,0.0
官制,0.0,0.0
主任,0.0,0.0
降伏,0.0,0.0
知事,0.0,0.0
減額,0.0,0.0
月給,0.0,0.0
公論,0.0,0.05555555555555555
専任,0.0,0.0
刑法,0.0,0.2
判事,0.0,0.0
皮切り,0.0,0.0
発言,0.0,0.0
任命,0.0,0.05555555555555555
国交,0.0,0.0
船数,0.0,0.0
マス,0.0,0.0
弥四郎,0.0,0.0
不明,0.0,0.02857142857142857
上申書,0.0,0.07142857142857142
中等,0.0,0.034482758620689655
大日本,0.0,0.0
一員,0.0,0.0
翻訳,0.0,0.0
危機感,0.0,0.0
終了,0.0,0.0
細則,0.0,0.0
席上,0.0,0.0
事実上,0.0,0.0
思惑,0.0,0.0
保証,0.0,0.0
即時,0.0,0.0
リュー,0.0,0.0
延べ,0.0,0.0
状況下,0.0,0.0
増強,0.0,0.0
用船,0.0,0.0
ウィル,0.0,0.0
飼料,0.0,0.0
牛肉,0.0,0.0
在日,0.0,0.0
ドルフ,0.0,0.0
当該,0.0,0.0
内実,0.0,0.0
船客,0.0,0.02857142857142857
ロジャーズ,0.0,0.0
司令官,0.0,0.0
購入,0.0,0.0
積載,0.0,0.0
国旗,0.0,0.0
サンフランシスコ,0.0,0.0
提供,0.0,0.3708032708032708
利用者,0.0,0.0
冒頭,0.0,0.0
基調,0.0,0.07142857142857142
本人,0.0,0.09090909090909091
所持,0.0,0.0
論理,0.0,0.0
モデル,0.0,0.0
条文,0.0,0.0
か条,0.0,0.24000000000000002
提案,0.0,0.0
裁判,0.0,0.0
草案,0.0,0.0
碇泊,0.0,0.0
具体,0.0,0.14358974358974358
当面,0.0,0.0
決意,0.0,0.0
権威,0.0,0.0
正弘,0.0,0.0
犯罪,0.0,0.2
拒否,0.0,0.0
身体,0.0,0.0
鹿児島,0.0,0.1111111111111111
公共,0.0,0.0
官員,0.0,0.0
伍長,0.0,0.0
参謀,0.0,0.0
通知,0.0,0.0
危険,0.0,0.014492753623188406
トン数,0.0,0.0
周知,0.0,0.0
謙二郎,0.0,0.0
ベース,0.0,0.0
呉服店,0.0,0.0
運送,0.0,0.0
神宮,0.0,0.0
事例,0.0,0.05555555555555555
全員,0.0,0.0
責任者,0.0,0.0
想像,0.0,0.045454545454545456
前掲,0.0,0.034482758620689655
中核,0.0,0.0
荒木,0.0,0.0
はと,0.0,0.20833333333333331
質問,0.0,0.0
ランス,0.0,0.0
熱意,0.0,0.0
過当,0.0,0.0
船価,0.0,0.0
見込,0.0,0.0
調べ,0.0,0.1
万次郎,0.0,0.0
鯨漁,0.0,0.0
投下,0.0,0.0
貸与,0.0,0.0
投入,0.0,0.013888888888888888
相馬,0.0,0.022222222222222223
貸付,0.0,0.0
進捗,0.0,0.0
着手,0.0,0.016129032258064516
装置,0.0,0.0
賃銭,0.0,0.0
最新,0.0,0.0
建言,0.0,0.2
代弁,0.0,0.0
外務省,0.0,0.0
手続き,0.0,0.2
創刊,0.0,0.3333333333333333
石井,0.0,0.0
窓口,0.0,0.16666666666666666
柳田,0.0,0.0
違反,0.0,0.0
拝借,0.0,0.0
売渡,0.0,0.0
ねらい,0.0,0.0
醤油,0.0,0.0
レベル,0.0,0.0
本格化,0.0,0.0
プロシア,0.0,0.0
欠損,0.0,0.0
途絶,0.0,0.0
沢村,0.0,0.0
連隊,0.0,0.0
自費,0.0,0.0
軍事,0.0,0.0
運用,0.0,0.0
融資,0.0,0.3333333333333333
直航,0.0,0.0
関わり,0.0,0.0
経由,0.0,0.0
納税,0.0,0.0
基幹,0.0,0.0
変容,0.0,0.0
利害,0.0,0.0
工事費,0.0,0.047619047619047616
失敗,0.0,0.05555555555555555
支障,0.0,0.0
記載,0.0,0.125
ポンド,0.0,0.0
