a,b,c,d,e,f,g,h,i,j,k,l,m
入舟町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
船見町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
弥生町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
弁天町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
大町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
末広町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
元町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
青柳町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
谷地頭町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
住吉町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
宝来町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
東川町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
豊川町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
大手町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
栄町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
旭町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
東雲町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
大森町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
松風町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
若松町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
千歳町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
新川町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
上新川町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
海岸町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
大縄町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
松川町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
万代町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
浅野町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
吉川町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
北浜町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
港町１丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
港町２丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
港町３丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
追分町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
亀田町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
大川町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
田家町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
白鳥町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
八幡町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
宮前町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
中島町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
千代台町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
堀川町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
高盛町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
宇賀浦町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
日乃出町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
的場町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
時任町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
杉並町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
本町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
梁川町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
五稜郭町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
柳町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
松陰町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
人見町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
金堀町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
乃木町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
柏木町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
川原町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
深堀町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
駒場町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
広野町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
湯浜町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
湯川町１丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
湯川町２丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
湯川町３丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
戸倉町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
榎本町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
花園町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
日吉町１丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
日吉町２丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
日吉町３丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
日吉町４丁目,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
上野町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
高丘町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
滝沢町,,,10,名詞,固有名詞,地域,一般,*,*,*,*,*
