a,b,c,d,e,f,g,h,i,j,k,l,m
入舟町,,,10,名詞,固有名詞,地域,一般,*,*,入舟町,*,*
船見町,,,10,名詞,固有名詞,地域,一般,*,*,船見町,*,*
弥生町,,,10,名詞,固有名詞,地域,一般,*,*,弥生町,*,*
弁天町,,,10,名詞,固有名詞,地域,一般,*,*,弁天町,*,*
大町,,,10,名詞,固有名詞,地域,一般,*,*,大町,*,*
末広町,,,10,名詞,固有名詞,地域,一般,*,*,末広町,*,*
元町,,,10,名詞,固有名詞,地域,一般,*,*,元町,*,*
青柳町,,,10,名詞,固有名詞,地域,一般,*,*,青柳町,*,*
谷地頭町,,,10,名詞,固有名詞,地域,一般,*,*,谷地頭町,*,*
住吉町,,,10,名詞,固有名詞,地域,一般,*,*,住吉町,*,*
宝来町,,,10,名詞,固有名詞,地域,一般,*,*,宝来町,*,*
東川町,,,10,名詞,固有名詞,地域,一般,*,*,東川町,*,*
豊川町,,,10,名詞,固有名詞,地域,一般,*,*,豊川町,*,*
大手町,,,10,名詞,固有名詞,地域,一般,*,*,大手町,*,*
栄町,,,10,名詞,固有名詞,地域,一般,*,*,栄町,*,*
旭町,,,10,名詞,固有名詞,地域,一般,*,*,旭町,*,*
東雲町,,,10,名詞,固有名詞,地域,一般,*,*,東雲町,*,*
大森町,,,10,名詞,固有名詞,地域,一般,*,*,大森町,*,*
松風町,,,10,名詞,固有名詞,地域,一般,*,*,松風町,*,*
若松町,,,10,名詞,固有名詞,地域,一般,*,*,若松町,*,*
千歳町,,,10,名詞,固有名詞,地域,一般,*,*,千歳町,*,*
新川町,,,10,名詞,固有名詞,地域,一般,*,*,新川町,*,*
上新川町,,,10,名詞,固有名詞,地域,一般,*,*,上新川町,*,*
海岸町,,,10,名詞,固有名詞,地域,一般,*,*,海岸町,*,*
大縄町,,,10,名詞,固有名詞,地域,一般,*,*,大縄町,*,*
松川町,,,10,名詞,固有名詞,地域,一般,*,*,松川町,*,*
万代町,,,10,名詞,固有名詞,地域,一般,*,*,万代町,*,*
浅野町,,,10,名詞,固有名詞,地域,一般,*,*,浅野町,*,*
吉川町,,,10,名詞,固有名詞,地域,一般,*,*,吉川町,*,*
北浜町,,,10,名詞,固有名詞,地域,一般,*,*,北浜町,*,*
港町１丁目,,,10,名詞,固有名詞,地域,一般,*,*,港町１丁目,*,*
港町２丁目,,,10,名詞,固有名詞,地域,一般,*,*,港町２丁目,*,*
港町３丁目,,,10,名詞,固有名詞,地域,一般,*,*,港町３丁目,*,*
追分町,,,10,名詞,固有名詞,地域,一般,*,*,追分町,*,*
亀田町,,,10,名詞,固有名詞,地域,一般,*,*,亀田町,*,*
大川町,,,10,名詞,固有名詞,地域,一般,*,*,大川町,*,*
田家町,,,10,名詞,固有名詞,地域,一般,*,*,田家町,*,*
白鳥町,,,10,名詞,固有名詞,地域,一般,*,*,白鳥町,*,*
八幡町,,,10,名詞,固有名詞,地域,一般,*,*,八幡町,*,*
宮前町,,,10,名詞,固有名詞,地域,一般,*,*,宮前町,*,*
中島町,,,10,名詞,固有名詞,地域,一般,*,*,中島町,*,*
