noun,count
函館,12139
度,247
分,812
北緯,16
市役所,94
位置,161
中心,736
北海道,3176
都市,602
津軽,267
海峡,187
本州,326
青森県,79
国,541
青森,284
オーストラリア,13
諸,481
ニューヨーク,10
大都市,30
市制,90
過去,37
回,740
市域,19
変更,129
現在,367
範囲,116
東西,77
キロメートル,68
南北,33
広がり,20
中,2015
面積,80
市,1370
南部,186
山,224
標高,33
メートル,413
三角,23
点,512
状,146
南西部,15
北部,103
東側,35
戸井,54
町,1371
尻,65
岸,57
内,1276
北東部,11
横津,18
境,56
南茅部,17
鹿部,12
村,553
北,401
西側,42
七飯町,27
上磯,198
道内,423
国道,34
距離,19
約,776
ため,2491
道央,29
群,140
よう,2062
間,1466
中枢,16
機能,262
部,857
第,4234
次,1431
大戦,170
後,1931
開発,261
政策,234
再,144
編成,92
経済的,59
小樽,711
共,559
社会的,35
地位,141
低落,27
余儀,64
今日,70
結果,486
人口,392
世帯,85
数,908
札幌,625
旭川,94
昭和,5255
年,18882
旧,474
亀田,545
移動,65
減少,191
行政,259
単位,89
景観,56
上,1021
互い,20
市街地,123
こと,9391
月,11201
1日,454
両市,22
あと,122
位,216
規模,222
産業,432
別,295
就業,28
構成,168
比,119
比率,172
,831
消費,159
都市型,22
他,1106
シェア,27
経済,556
パーセント,858
各種,117
全道,297
呼称,14
平均値,10
初期,205
渡島,248
檜山,43
両,527
地方,941
ほか,757
発達,119
文化,642
交通,160
青函,378
連絡,426
船,1707
発着,31
民間,172
フェリー,29
本線,21
江差,196
線,424
起点,20
空港,34
東京,997
便,213
定期,229
時間,218
地域,711
関係,856
函館市,1338
総数,70
人,3031
卸,26
小売,36
サービス,35
等,1436
就業者,19
能,56
業種,84
卸売,34
周辺,167
市町村,54
小売店,19
商品,213
業者,161
比較的,106
八雲,17
長万部,30
卸売業,21
者,2054
道南,232
製造業,114
傾向,278
ドック,167
株式会社,332
大,727
工場,757
大部分,122
未満,54
小規模,30
零細,36
従業者数,30
出荷,107
額,482
食料品,70
主,380
水産,353
品,646
加工,149
割合,127
国内,193
大手,94
加工業,115
生産,437
増加,423
原料,128
産地,203
釧路,153
八戸,16
水産加工業,18
台頭,16
製造,418
関連,165
下請,35
主体,112
輸送,341
用,613
機械,259
函館湾,42
一部,290
トン,523
乾,23
漁業,2118
資材,77
繊維,35
船舶,450
機関,292
工業,378
北洋,450
最盛期,22
基地,108
生産力,19
企業,236
徐々,68
衰退,43
全体,289
以上,619
販売額,51
現象,66
支庁,639
管内,142
小売業,51
上昇,78
要因,114
道路,308
網,246
整備,269
専門店,13
化,479
消費者,48
行動,92
多様化,16
同時,239
経営,665
性,150
低,25
特徴,128
店,396
当り,25
年間,429
従業者,19
各,767
2人,106
店舗,98
生業,20
家族,95
市場,520
経済力,27
集中,27
流通,256
影響,356
はじめ,358
四国,12
九州,39
存在,178
基盤,106
購買力,13
過言,10
国勢,27
調査,709
サービス業,19
全,244
観光,124
伸び,45
もの,4339
資源,84
最近,41
大沼,38
事業,768
観光客,41
倍,198
山麓,22
多く,359
自然,151
市民,806
声,113
輸出入,58
移出入,45
港,1004
利用,125
国鉄,159
航路,744
物資,194
乗客,72
トラック,27
航空機,16
競合,32
その後,345
中継,57
意義,42
自動車,149
自家用車,13
普及,109
隻数,27
とも,603
当初,220
大間,28
野辺地,11
車両,23
台,351
開設,257
長距離,17
停滞,57
輸出,682
新造,42
輸入,246
アジア,63
石油,172
原油,16
大半,133
鉄道,486
松前,765
本,320
路線,97
本道,208
唯一,62
貨物,366
乗降,12
通学,39
圏,91
函館空港,41
利用客,11
設備,214
充実,55
ジェット機,12
就航,64
奥尻,19
型,203
機,162
交通手段,12
拠点,81
役割,180
つ,587
ルート,34
号線,13
余市,29
洞爺,33
運転,44
各地,313
森,96
ら,1908
それぞれ,89
管理,142
管轄,76
区域,189
税関,97
東北,244
地区,556
広域,20
商業,694
寺社,38
建立,16
発展,263
元禄,21
以降,364
箱館,2313
寺子屋,22
教育,1073
発端,27
今,97
ところ,581
記録,236
岳,30
背,17
相,550
西,236
北西,29
沢,80
川,267
