noun,count,label
青森県,472,City
ソビエト連邦,24,Person
青森,1480,Province
白石,16,Person
オーストラリア,88,Country
シカゴ,16,City
ニューヨーク,48,City
南西部,24,City
戸井町,40,City
南茅部町,64,Province
鹿部村,24,City
七飯町,176,City
上磯,448,City
道内,2424,Province
道央,144,City
第2次大戦後,16,Event_Other
小樽,3608,City
札幌,2912,City
旭川,552,City
旧亀田市,40,City
亀田,1320,Person
第3次産業,64,Event_Other
全道,1352,Province
函館本線,88,Railroad
江差線,56,Railroad
東京,3984,Province
八雲長万部,16,Person
卸売業者,24,Position_Vocation
函館市内,192,Province
函館ドック株式会社,56,GOE_Other
釧路,704,Station
八戸,32,City
水産加工業,96,Position_Vocation
乾ドック,16,Doctrine_Method_Other
道内各都市,32,Domestic_Region
四国,32,Domestic_Region
九州,224,Domestic_Region
渡島,504,City
檜山,208,City
国勢調査,40,Printing_Other
函館港,2568,Port
航路,16,City
大間,80,City
野辺地,80,Province
原油,16,Mineral
北洋材,16,Material
松前,632,City
函館空港,216,Food_Other
函館線,64,Railroad
長万部,120,City
倶知安,40,City
国道227号線,24,Road
江差,992,City
国道278号線,16,Road
函館税関,104,Public_Institution
東北地方,568,Domestic_Region
渡島支庁管内,16,Public_Institution
横津岳,56,Mountain
袴腰岳,24,Mountain
上磯町,368,Province
蒜沢川,16,Food_Other
旧函館市内,24,Country
亀田市,96,Domestic_Region
大野町,160,City
厚沢部町,16,City
日本セメント,16,Corporation_Other
茂辺地,96,City
砂原町,16,City
大沼,128,City
森町,16,City
享保,32,Person
久根別川,16,River
新幹線,48,Railroad
北海道本島,16,Island
渡島半島,120,Domestic_Region
亀田半島,24,Facility_Other
津軽海峡,432,Sea
函館市域内,16,Domestic_Region
雁皮,40,Compound
三森山,112,Mountain
雁皮山,32,Mountain
硫黄,112,Style
山形,160,Domestic_Region
庄司山,32,Mountain
硫黄鉱床,16,Law
松倉川,416,River
汐泊川支流,40,Geological_Region_Other
台場山,56,Mountain
毛無山,24,Mountain
戸井層,40,City
戸井,128,Province
御殿山,144,Mountain
千畳敷,88,Natural_Object_Other
臥牛山,16,Mountain
幕府測量図,16,Plan
第2次世界大戦後,32,Event_Other
高龍寺山,24,Mountain
鮮新世,24,Person
スキー場,24,Sport
千畳敷溶岩,32,Mountain
寒川火山噴出物層,48,Plan
西海岸,288,Domestic_Region
谷地頭,288,Province
函館付近,120,Port
ミンデルリス間,40,Doctrine_Method_Other
日吉町,232,City
ミンデル氷期,16,Doctrine_Method_Other
鱒川面,32,Product_Other
東北地方北部,64,Domestic_Region
Pediplain,16,Product_Other
小林国夫,40,Person
中野町面,120,City
長万部町,24,City
長万部段丘,16,Location_Other
亀田川,344,River
汐泊川,56,Mountain
亀尾砂層,16,Mountain
汐泊,16,Mountain
南方,16,City
中野町面堆積物,16,City
安山岩,40,Bird
北方,64,City
褐色,56,Nature_Color
粘土,440,Material
関東地方,168,Domestic_Region
多摩丘陵,24,Mountain
長沼,56,Person
ヨーロッパ,232,Continental_Region
日吉町段丘,72,City
日吉町段丘形成後,16,Public_Institution
日吉町段丘堆積物,16,City
トラピスチヌ修道院,48,GOE_Other
凝灰岩,40,Mineral
安山岩礫,24,Food_Other
桔梗,88,Natural_Phenomenon_Other
五稜郭操車場,48,Location_Other
茨城県,16,Province
大洗地域,16,Domestic_Region
瀬戸川流域,24,Sea
汐泊川流域,32,Mountain
恵山,160,City
熊石,80,City
下末吉段丘,32,Domestic_Region
下末吉,48,Province
地中海沿岸,16,Geological_Region_Other
アメリカ合衆国,48,Mammal
木越研究室,16,GOE_Other
日吉,32,City
函館段丘,56,Domestic_Region
湯川町,176,City
長谷川鈴木,48,Person
土器,3288,Doctrine_Method_Other
縄文海進,40,Culture
住吉町段丘,24,City
住吉町付近,16,City
七飯,112,City
赤川,56,Person
西桔梗遺跡,16,Facility_Part
洪積世,48,Person
函館市街地,16,Domestic_Region
秋田県,128,Province
根崎,56,City
大森浜,208,Mountain
幕府,968,Political_Organization_Other
函館市役所,72,GOE_Other
青灰色,16,Nature_Color
灰色,80,Nature_Color
ピート,24,Person
奥尻島,24,City
彩華デパート,16,Company
東雲町自然貝層,16,GOE_Other
石川政治,24,Academic
花粉,32,Flora_Part
ベルギー,32,Country
亀田平野,24,Person
大野平野,16,Mountain
函館平野,120,Port
三谷勝利,32,Person
小原,24,Person
平野,40,City
日本,7240,Country
RⅡ,16,Product_Other
中村,128,Person
縄文文化,376,Culture
須恵器,32,Facility_Part
擦文文化初葉,16,Culture
古久根,16,Person
本郷,40,City
戸切地川,16,City
大野町本町,16,City
上磯町久根別,24,City
久根別,40,Station
富川,24,City
鈴木国府谷,16,Person
日吉町海進,24,City
海抜,16,Food_Other
地球,16,Planet
人類,56,Mammal
洪積世堆積物,16,Mountain
元町層,32,Material
湯川,184,City
亀沢,136,Person
鈴木長谷川,160,Person
下北半島,48,City
三谷,32,Person
戸切,40,City
赤褐色,24,Nature_Color
Kh,16,Animal_Part
縄文晩期,112,Culture
中国,1880,Country
九州地方,24,Domestic_Region
松倉集塊,24,Product_Other
鈴木守,16,Person
函館地方,216,Domestic_Region
緑色,112,Nature_Color
岩部層,24,Doctrine_Method_Other
松倉集,16,Person
黒っぽい,24,Nature_Color
黄褐色,32,Material
寒川,16,City
黄鉄鉱,24,Material
中新世,48,Person
黒岩安山岩,16,Mountain
かんらん石,16,Mineral
鈴木,296,Person
安山岩質,16,Mountain
石基,56,Person
緑泥石,40,Material
淡緑,32,Nature_Color
輝石,16,Person
暗緑,16,Nature_Color
小樽市,128,Province
西股川,16,River
丸山付近,16,City
藤原,192,Person
暗褐色,24,Nature_Color
黒岩岬,24,City
黒色,32,Nature_Color
松倉川層,16,City
黄色,16,Nature_Color
磯谷川,40,River
長谷川,216,Person
nan,112,Person
館脇操,24,Product_Other
エトロフ島,72,Island
高木,64,Person
石狩低地帯,32,Domestic_Region
本州北部,32,Domestic_Region
河野広道,88,Person
石狩低地,16,Domestic_Region
日本アジア協会,32,Corporation_Other
京浜地区,16,Location_Other
欧米知識人学者,16,Position_Vocation
日本政府,536,Government
東京大学,96,School
教授,1168,Position_Vocation
ミルン,120,Dish
地質学,72,Doctrine_Method_Other
鉱山学,16,Continental_Region
日本地震学,16,Culture
学者,64,Position_Vocation
八田三郎,32,Person
宗谷海峡,32,Island
シベリア大陸,56,Continental_Region
黒松内,72,City
寿都,168,City
ブナ,24,Flora
東北北部,48,Domestic_Region
道北,56,City
道東,128,City
北方系,16,Person
渡島山脈,16,Geological_Region_Other
亀田山脈,56,Person
和人,376,Mammal
ヤマドリ,16,Food_Other
クリミア戦争,32,War
貿易商,72,Position_Vocation
米国,272,Country
英国,232,Country
仏国,16,Person
欧米,168,Continental_Region
横浜,1936,City
イタチ,24,Mammal
イノシシ,16,Mammal
ツキノワグマ,24,Mammal
カモシカ,16,Mammal
ヤマゲラ,16,Flora
シマリス,24,Mammal
オオカミ,16,Mammal
樺太,448,City
カラフト,40,Dish
森林地帯,24,Person
エンレイソウ属,16,Material
スギ,24,Flora
カラマツ,16,Flora
チマキザサ,16,Material
クマイザサ,16,Flora
紅葉山,16,Facility_Part
鉄山,16,Flora
庵原,64,City
トドマツ,16,Flora
エゾマツ,16,Flora
ナナカマド,32,Mammal
高山植物,16,Flora
豊原,56,Person
渡来,168,Sea
欧州,40,Continental_Region
北米,24,Continental_Region
アフリカ,48,Continental_Region
南米,16,Continental_Region
シベリア,264,Domestic_Region
エゾタヌキ,24,Mammal
エゾユキウサギ,32,Mountain
オコジョ,16,Clothing
東南アジア,96,Continental_Region
日本列島,112,Domestic_Region
頸部,72,Animal_Part
エゾオオカミ,16,Mammal
タヌキ,32,Mammal
亜種,16,Animal_Disease
キツネ,48,Clothing
北半球,16,Continental_Region
樹皮,72,Flora_Part
ネズミ,16,Mammal
松下熊,72,Person
ハタネズミ,16,Dish
キンクロ,16,Product_Other
カッコウ,16,Food_Other
コルリ,24,Person
イソヒヨドリ,16,Insect
ウグイス,16,Food_Other
アトリ,24,Flora
ハシボソガラス,16,Product_Other
アホウドリ,16,Bird
渡来するもの,16,Culture
アゲハ,16,Food_Other
チョウ,40,Insect
エゾスジグロシロチョウ,16,GOE_Other
アカシジミ,16,Food_Other
ミドリシジミ,16,Bird
西欧諸国,16,Continental_Region
神奈川条約,24,Treaty
下田,592,Person
船員,120,Position_Vocation
医師,544,Position_Vocation
宣教師,288,Position_Vocation
商人,2488,Position_Vocation
ロシア人,1200,Country
医師アルブレヒト,16,Position_Vocation
天保,80,Person
那覇,16,City
長崎,968,City
アルブレヒト,48,Person
箱館奉行,2000,Doctrine_Method_Other
イギリス人,184,Nationality
函館測候所,16,Book
アメリカ,2280,Person
開拓使顧問団長ケプロン,16,Position_Vocation
開拓使,4504,Bay
函館支庁,2360,Domestic_Region
慶応,608,School
出仕,136,Position_Vocation
北海道志,32,Printing_Other
準規,32,Person
明治政府,216,Government
函館海洋気象台,40,Domestic_Region
ワシントン,16,City
函館県,624,Province
北海道庁,1240,Government
函館区,1648,Port
船場町,336,City
赤川通町,32,City
函館大火,112,Event_Other
鉄骨,16,Material
五稜郭,1168,City
福山,808,Person
久遠,48,Person
福島,112,City
江良,16,Person
瀬棚,40,City
山越,16,City
ペリー艦隊,80,Company
ペルリ提督日本遠征記,56,Book
北太平洋,96,Continental_Region
北欧,24,Domestic_Region
日本海,672,Sea
日本列島全体,40,Continental_Region
太平洋,208,Sea
オホーツク,72,City
帯広,88,City
北太平洋高気圧,16,Continental_Region
オホーツク海,120,Sea
東北,440,Domestic_Region
道東部,32,School
道南部,24,Domestic_Region
勇払地方,16,Domestic_Region
日中,408,Country
奥羽地方,64,Domestic_Region
洞爺丸台風,24,Ship
室蘭,928,City
浦河,40,City
高砂町,160,City
苫小牧,64,City
道内6か所,16,Domestic_Region
鍛冶,24,Clothing
石崎,152,Person
文政,224,Person
教職,16,Position_Vocation
イギリス,2008,Country
ロシア,2208,Country
フランス,744,Country
ドイツ,360,Country
デンマーク,88,Country
渡道,136,City
福山江差,64,Person
亀田村,616,Person
マンモス,120,Mammal
狩人,40,Position_Vocation
朝鮮半島,48,Continental_Region
旧石器時代人,16,Culture
大陸,24,City
蝦夷,320,Ethnic_Group_Other
福山秘府,24,Book
貝殻,224,Color_Other
人類学,64,Academic
エドワードSモース,32,Person
先住民族,40,Ethnic_Group_Other
大森貝塚,40,GOE_Other
日本民族,24,Ethnic_Group_Other
函館公園内,16,Park
奈良,64,Province
古銭,104,Person
越前古窯,40,Company
貞治,96,Mammal
磨製石器,56,Culture
新潟県,80,Province
長崎県,24,City
愛媛県,64,City
縄文土器,248,Culture
弥生文化,104,Culture
西日本,104,Domestic_Region
北関東,56,Domestic_Region
東北南部,16,Domestic_Region
炭化米,16,Food_Other
青銅器,24,Academic
漁労,144,Mammal
石器,296,Theory
北朝鮮,80,Country
擦文土器,96,Academic
本州,272,City
天狗,24,Flora
函館区役所,312,Research_Institute
木内,40,Person
雲根志,24,Book
都々伊,16,City
頭飾り,40,Clothing
兵衛,48,Person
雷堂,16,Person
出羽,56,City
布施,16,Person
警固,32,City
石鏃,64,Location_Other
八幡宮,160,Worship_Place
佐井村,16,Province
黒く,16,Nature_Color
磨製石斧,56,Culture
神代,16,Person
近藤重蔵,48,Person
寛文,32,Person
松浦武四郎,112,Person
北蝦夷地,144,Event_Other
西蝦夷地,72,GOE_Other
十勝日誌,16,Book
アイヌ,960,Ethnic_Group_Other
沢辺村,32,City
玉造石,16,Ship
秋田城,16,Facility_Other
秦檍丸,16,Ship
蝦夷島奇観,72,Book
沢辺,112,Person
石斧,40,Position_Vocation
函館公園,288,Park
相生町,72,City
サイベ沢遺跡,24,Ship
ドイツ人,24,Nationality
日高,224,Person
平取,16,City
日本考古学,24,Book
エドワードシュベスターモース,16,Person
白老,56,City
リバプール,16,Person
顧問,80,Position_Vocation
玄武丸,104,Ship
シュムシュ島,32,Island
千島アイヌ,16,Ethnic_Group_Other
アイヌ民族,216,Ethnic_Group_Other
函館博物館,112,Domestic_Region
日本本土,24,Country
モース,40,Person
アイヌ人,48,Ethnic_Group_Other
エスキモー人,16,Ethnic_Group_Other
アリュート人,16,Ethnic_Group_Other
大森貝塚人,16,Ethnic_Group_Other
人骨,48,Animal_Part
日本人,1488,Nationality
根室,736,City
斜里,64,City
網走,256,City
常呂,24,City
国立,24,City
土器類,16,Doctrine_Method_Other
ジョンバチェラー,40,Person
アイヌ人及其説話,16,Broadcast_Program
清野謙次,16,Person
骨格,88,Animal_Part
縄文人,48,Ethnic_Group_Other
坪井正五郎,16,Person
東京人類学会,16,Person
坪井,56,Person
コロポックル,16,Position_Vocation
蝦夷地,1840,GOE_Other
ふき,16,Flora
江戸,616,City
人類学雑誌,32,Book
医学部,32,Organization_Other
渡瀬荘三郎,16,City
小金井,40,City
札幌博物学会会報,16,School
河野常吉,24,Product_Other
バチェラー,16,Nationality
竪穴,32,Facility_Part
黒曜石製,40,Person
河野,120,Person
東北大学,56,School
清野,32,Person
井田,16,Person
館長,72,Position_Vocation
函館考古会,24,GOE_Other
函館中学校,208,School
学生,152,Position_Vocation
湯倉神社,56,Worship_Place
函館区史,168,Book
北海道大学,56,Doctrine_Method_Other
研究者,48,Position_Vocation
東京人類学会雑誌,16,School
北海道教育雑誌,16,Corporation_Other
村岡格,24,Person
アサリ坂貝塚,32,Facility_Other
戸井貝塚,48,GOE_Other
深瀬春一,40,Person
住吉神社,16,Worship_Place
戸井村,24,City
北方郷土,24,Book
函館図書館,112,Port
伊藤昌吉,24,Person
能登川隆,40,Person
落合計策,24,Product_Other
市立函館図書館,136,Public_Institution
函館教育会,104,GOE_Other
函館考古,24,Port
史前学雑誌,16,Book
山内清男,80,Ethnic_Group_Other
恵山貝塚出土,16,Archaeological_Place_Other
能登川コレクション,16,GOE_Other
椴法華,48,City
京都大学,16,Person
大陸考古学,16,Mountain
日本文化,16,Culture
住吉町遺跡,104,City
神奈川県,120,Province
貝殻文,128,Animal_Disease
北海道大学医学部,16,Position_Vocation
春日町,64,GOE_Other
春日町遺跡,64,Archaeological_Place_Other
大場利夫,56,Person
人類学者,24,Position_Vocation
児玉,16,Person
千島列島,56,Ethnic_Group_Other
オホーツク文化,32,Culture
北千島,256,Country
鉄器文化,16,Culture
漁労具,16,Dish
高校生,40,School_Age
円筒土器文化,32,Doctrine_Method_Other
骨角,56,Country
五十嵐,16,Person
旧石器,72,Doctrine_Method_Other
北見,160,City
湊正雄,16,Person
北海道教育大学,40,School
明治大学,32,School
杉原荘介,16,Person
白滝遺跡,16,Archaeological_Place_Other
魚類,144,Flora
法隆寺,16,Person
文化財保護法,32,Rule_Other
山越郡,48,City
立川,16,Person
旧石器文化,56,Culture
吉崎,32,Person
恵山貝塚,48,Archaeological_Place_Other
函館市教育委員会,48,Government
調査団,16,Government
日吉遺跡,120,Theater
ストーン,168,Dish
群馬県,16,City
土器文化,96,Culture
縄文式土器,16,Doctrine_Method_Other
東日本,96,Country
住吉町式土器,24,Ethnic_Group_Other
芹沢長介,32,Person
東京都,48,Province
岡山,64,City
大阪,1152,City
香川,32,City
福岡,32,City
新潟,312,Domestic_Region
秋田,488,City
山形県,56,City
土器出現,16,Culture
長野県,24,Province
ナウマン象,16,Product_Other
星野,64,Person
大久保,80,Person
山口県,32,Province
大分県,16,City
星野遺跡,24,Worship_Place
有舌尖頭器,40,Material
南ロシア,24,Continental_Region
頭骨,72,Animal_Part
毛皮,176,Animal_Part
東アジア,16,Continental_Region
洞窟壁画,24,Culture
帽子,32,Clothing
ズボン,32,Clothing
ナイフ,16,Weapon
石皿,128,Continental_Region
首長,32,Position_Vocation
人間,120,Mammal
頭蓋骨,16,Animal_Part
極東地域,16,Domestic_Region
十勝岳,16,Mountain
阿寒岳,16,City
羊蹄山周辺,16,Natural_Disaster
美幌,32,City
白滝,24,City
岩内,136,City
八雲,80,Person
千歳,48,City
勇払原野,16,City
札幌低地,16,Domestic_Region
硬質頁岩,16,Doctrine_Method_Other
白滝文化,24,Culture
槍先,32,Clothing
石片,64,Material
細石刃,24,Facility_Other
片刃石斧,16,Doctrine_Method_Other
石刃文化,24,Culture
弓矢,24,Weapon
樽岸文化層,16,Culture
狩人たち,16,Position_Vocation
遊楽部岳,16,Road
八雲町,32,City
剥片石器,48,Doctrine_Method_Other
教育委員会,200,Government
メンバー,272,Position_Vocation
十勝,88,Country
千歳市,24,City
岩手県,176,Province
福井,40,City
上黒岩,16,Nature_Color
福井洞窟,16,GOE_Other
考古学者,16,Position_Vocation
投槍,16,Weapon
土器製作技術,16,Doctrine_Method_Other
土器形式,384,Doctrine_Method_Other
山内,112,Person
山内説,16,Person
虎杖浜,24,City
エゾシカ,64,GOE_Other
後頭部,32,Animal_Part
大腿骨,40,Animal_Part
脛骨,64,Animal_Part
シカ,88,Mammal
骨片,16,Animal_Part
テン,24,Dish
腓骨,16,Animal_Part
骨髄,16,Animal_Disease
タマキビ,24,Product_Other
山野,56,Flora
クジラ,72,Mammal
オットセイ,128,Dish
イルカ,40,Mammal
マグロ,56,Food_Other
サメ,24,Fish
白鳥,40,Name_Other
海獣,40,Theory
鹿角,136,City
1遺跡,16,Facility_Part
関東,80,Domestic_Region
プラスマイナス,16,Pro_Sports_Organization
名取武光,88,Person
アリューシャン,16,City
道央部,32,Public_Institution
道東北部,48,Domestic_Region
縄文早期,24,Culture
名取,16,City
後北式,24,Natural_Phenomenon_Other
剥片,80,Academic
モンゴル地方,16,Domestic_Region
道東北,16,Domestic_Region
八幡一郎,16,Person
ストーンサークル,96,Material
忍路,96,City
三笠山,16,Mountain
立石,64,Person
マンロー,16,Person
駒井,64,Person
余市,104,City
道南地方,136,Domestic_Region
太平洋沿岸,24,Sea
千島海流,16,Mountain
胆振,96,City
宗谷,120,City
雄武,16,City
流氷,32,City
アカガイ,24,Person
サルボウ,24,Product_Other
乳房,56,Animal_Part
乳頭,16,Animal_Part
フィリピン,120,Country
カマド,16,Flora
北方民族,64,Ethnic_Group_Other
貝殻文尖底土器,32,Animal_Disease
横須賀,48,City
中国北部,16,Continental_Region
考古学,16,Facility_Part
西桔梗,80,GOE_Other
中野,32,Person
南茅部,24,Province
八木,80,Person
有珠,40,City
若生,24,Person
静内,56,Province
貝殻文土器,16,Animal_Disease
函館毎日新聞,56,Book
大場,16,Person
千代田小学校,16,Domestic_Region
駒ヶ岳火山,16,Mountain
黄褐色粘土層,16,Dish
土器群,56,Culture
根崎公園,24,Park
洪積世火山灰,16,Mountain
住吉町式,16,City
調査報告書,16,Printing_Other
粘土紐,64,Material
亀田郡,176,Province
椴法華村,24,City
千代,272,Person
綱文土器,24,Doctrine_Method_Other
平底土器,56,Doctrine_Method_Other
道東地方,16,Domestic_Region
梁川町式,16,Doctrine_Method_Other
貝殻条痕文,16,Animal_Disease
無文尖底土器,16,Tumulus
北方原住民,16,Mountain
脂肪,56,Animal_Part
カロリー,16,Dish
梁川町遺跡,24,Archaeological_Place_Other
茶色,16,Nature_Color
羽状縄文,16,Animal_Disease
釧路市,32,Province
東釧路,16,City
瀬棚郡,16,Province
北檜山町,16,City
大谷地遺跡,24,Archaeological_Place_Other
函館空港第4地点遺跡,16,Plan
土器片,80,Doctrine_Method_Other
石杵,48,Political_Organization_Other
おにぎり,16,Dish
皮下脂肪,16,Animal_Part
函館周辺,72,Archaeological_Place_Other
木の実,16,Flora_Part
めし,16,Dish
内臓,40,Animal_Part
土器文様,16,Doctrine_Method_Other
長老,16,Position_Vocation
岩手,56,Province
長谷部,16,Person
円筒土器,48,Animal_Part
花弁,56,Flora_Part
外反,16,Animal_Disease
粘土飾り,16,Material
擬縄文,16,Doctrine_Method_Other
名寄,40,City
様似,72,City
東北地方南部,32,Domestic_Region
北海道原始文化聚英,16,Book
ドルメン,24,Academic
職員,392,Position_Vocation
北海道南部,48,Domestic_Region
函館圏流通センター,16,Domestic_Region
虻田,56,City
室蘭市,40,Province
本輪西,24,Station
静狩貝塚,32,Book
サイベ沢,16,Material
仰臥屈葬,16,Doctrine_Method_Other
神山,72,Person
大沼公園,16,GOE_Other
小沼,16,Station
竪穴住居址,24,Facility_Other
