noun,count
北緯,14
都市,510
津軽,231
海峡,160
本州,309
青森県,70
青森,257
オーストラリア,11
大都市,30
市制,67
過去,27
市域,19
変更,96
現在,292
範囲,103
東西,56
キロメートル,64
南北,28
広がり,20
面積,77
南部,170
南西部,15
北部,95
東側,32
戸井,51
北東部,10
横津,17
南茅部,13
鹿部,11
西側,42
七飯町,21
上磯,166
国道,31
距離,16
ため,2347
道央,28
よう,2035
中枢,14
機能,248
位置,138
大戦,165
開発,220
政策,208
編成,72
経済的,51
小樽,614
社会的,32
地位,125
低落,25
余儀,55
今日,43
結果,443
人口,363
世帯,75
札幌,540
旭川,80
昭和,3717
亀田,463
移動,62
減少,181
行政,216
単位,78
景観,49
互い,20
市街地,120
こと,8894
1日,340
両市,17
あと,112
規模,211
産業,364
就業,25
構成,161
比率,171
消費,142
都市型,15
シェア,26
経済,481
各種,98
全道,255
呼称,12
平均値,10
初期,183
渡島,196
檜山,35
地方,752
ほか,734
発達,81
文化,525
交通,121
中心,700
青函,316
連絡,352
発着,31
民間,159
フェリー,26
本線,14
江差,176
起点,18
空港,34
東京,861
定期,195
時間,151
地域,601
関係,733
総数,63
小売,30
サービス,30
就業者,19
業種,79
卸売,32
周辺,160
市町村,41
小売店,16
商品,186
業者,134
比較的,93
八雲,16
長万部,27
卸売業,21
製造業,108
傾向,255
ドック,128
株式会社,252
工場,663
大部分,110
未満,46
小規模,26
零細,36
従業者数,30
出荷,102
食料品,67
割合,114
国内,178
大手,89
水産,290
加工業,113
生産,398
増加,372
原料,123
産地,181
釧路,128
八戸,15
水産加工業,16
台頭,16
製造,357
関連,151
下請,29
主体,106
輸送,317
機械,191
函館湾,38
一部,256
トン,360
漁業,1781
資材,66
繊維,32
船舶,376
機関,234
加工,140
工業,316
北洋,335
最盛期,22
基地,96
生産力,18
企業,215
徐々,67
衰退,39
全体,278
以上,536
販売額,51
現象,62
支庁,550
管内,110
小売業,47
上昇,76
要因,114
道路,244
整備,244
専門店,13
消費者,36
行動,80
多様化,15
同時,218
経営,607
特徴,125
当り,22
年間,401
従業者,18
2人,97
店舗,95
生業,12
家族,70
市場,445
経済力,27
集中,26
流通,232
影響,318
はじめ,347
九州,35
存在,169
基盤,102
購買力,12
国勢,18
調査,592
サービス業,18
観光,103
伸び,42
もの,3913
資源,68
最近,36
大沼,29
事業,641
観光客,39
山麓,22
多く,332
自然,113
市民,669
輸出入,49
移出入,45
利用,117
国鉄,149
航路,708
物資,174
乗客,65
トラック,25
航空機,14
競合,31
その後,343
中継,54
意義,32
自動車,128
自家用車,13
普及,95
隻数,27
とも,546
