noun,count
函館,4325
北海道,1595
津軽,82
本州,44
青森県,60
青森,186
オーストラリア,11
七飯町,22
上磯,56
道内,315
道央,20
二分,39
小樽,457
札幌,364
旭川,69
第3,27
亀田,169
第3位,18
昭和50年,17
2位,15
全道,169
昭和初期,54
20,15
30,23
渡島,77
函館本線,11
東京,498
函館市,792
50,17
道南,73
函館市内,24
1000人,10
釧路,95
水産加工業,12
第2,39
18,10
昭和35年,19
昭和51年,14
昭和39年,24
1,188
戦後,288
九州,28
檜山,27
昭和40年,29
昭和52年,16
函館港,321
大間,10
野辺地,10
昭和48年,33
江差,125
松前,315
2本,17
4年間,12
函館空港,27
一つ,68
長万部,15
余市,14
函館税関,18
東北地方,71
上磯町,46
昭和45年,37
8,43
47年,12
2倍以上,12
亀田市,12
大野町,20
明治,132
大正,117
茂辺地,12
昭和30年,40
45年,27
昭和46年,19
大沼,17
10年,101
明治末期,39
昭和47年,19
渡島半島,17
津軽海峡,54
三森山,14
硫黄,39
山形,20
3つ,41
松倉川,52
戸井,18
御殿山,18
千畳敷,11
万延元年,39
戦時中,26
明治16年,26
西海岸,36
谷地頭,36
60,11
第4紀,12
函館付近,16
1つ,131
日吉町,29
中川,51
鱒,19
中野町面,15
亀田川,43
粘土,55
亀沢,28
海進,13
関東地方,21
ヨーロッパ,29
桔梗,11
2回,34
1度,11
恵山,20
熊石,10
半分,29
噴火湾,22
湯川町,22
縄文早期,11
土器,416
1メートル,12
七飯,16
秋田県,16
対馬,12
根崎,10
大森浜,26
幕府,122
2つ,83
14,17
灰色,10
50センチメートル,11
函館平野,15
10,35
日本,906
北,26
中村,16
縄文文化,47
平安時代,10
昭和55年,16
湯川,23
鈴木長谷川,20
2,93
白,13
縄文晩期,14
中国,235
函館地方,28
4つ,22
緑色,14
鈴木,37
小樽市,16
藤原,24
青,11
長谷川,27
nan,14
昭和8年,45
高木,10
河野広道,11
明治9年,40
日本政府,67
東京大学,12
教授,146
ミルン,15
黒松内,10
寿都,21
樺太,186
道東,21
和人,50
明治31年,16
昭和20年,37
緑,20
文久3年,22
明治17年,30
3隻,28
米国,34
英国,29
欧米,22
横浜,242
1本,21
渡来,39
シベリア,33
東南アジア,12
日本列島,14
夕方,18
葉,11
根室,119
明治40年,68
昼間,13
秋,29
春,31
2種,11
江戸時代,37
夏,48
冬,46
安政元年,23
下田,75
箱館,793
船員,15
医師,68
宣教師,36
商人,311
ロシア人,150
安政6年,47
2年間,10
天保,11
6年,89
1回,29
安政2年,18
安政5年,29
長崎,128
箱館奉行,254
文久元年,50
3年間,23
イギリス人,23
元治元年,31
明治4年,42
アメリカ,286
明治5年,93
明治10年,33
開拓使,626
