人物名,場所,緯度,経度,年代
池田種之助,元町,41.763130,140.711795,1919
池田種之助,宝来町,41.758214,140.723565,1919
池田種之助,函館山,41.759294,140.703917,1919
石川啄木,青柳町,41.757418,140.715366,1926
石川啄木,立待岬,41.745035,140.721203,1926
大高ひさを,函館市立弥生小学校,41.768401,140.708134,1929
片上楽天,五稜郭公園,41.796881,140.756114,1917
関根要太郎,末広町,41.765542,140.715171,1930
関根要太郎,元町,41.763130,140.711795,1930
関根要太郎,船見町,41.765778,140.696602,1930
関根要太郎,函館競馬,41.782227,140.774685,1930
時任為基,本町,41.788729,140.750083,1931
時任為基,杉並町,41.789022,140.757285,1931
時任為基,大森浜,41.763767,140.730319,1931
西出孫左衛門,旧函館区公会堂,41.765024,140.708934,1915
山中節治,末広町,41.765542,140.715171,1930
山中節治,元町,41.763130,140.711795,1930
山中節治,船見町,41.765778,140.696602,1930
山中節治,函館競馬,41.782227,140.774685,1930
山本行雄,旧函館区公会堂,41.765024,140.708934,1920
