place,lat,lon
入舟町,41.748268,140.698522
船見町,41.767426,140.700088
弥生町,41.76877,140.706539
弁天町,41.772106,140.706178
大町,41.769855,140.710252
末広町,41.765403,140.715542
元町,41.763237,140.711929
青柳町,41.757234,140.71617
谷地頭町,41.752794,140.711051
住吉町,41.749614,140.717404
宝来町,41.760303,140.72134
東川町,41.76265,140.724133
豊川町,41.766964,140.719733
大手町,41.769873,140.723313
栄町,41.764521,140.726522
旭町,41.767038,140.727812
東雲町,41.769307,140.729971
大森町,41.769433,140.736517
松風町,41.771978,140.732023
若松町,41.775022,140.728149
千歳町,41.773165,140.73811
新川町,41.776474,140.736731
上新川町,41.780029,140.739994
海岸町,41.781672,140.728799
大縄町,41.782004,140.735302
松川町,41.785772,140.736481
万代町,41.787498,140.729837
浅野町,41.796185,140.723188
吉川町,41.794247,140.728879
北浜町,41.797736,140.728071
港町１丁目,41.802884,140.72657
港町２丁目,41.802884,140.72657
港町３丁目,41.802884,140.72657
追分町,41.799752,140.731322
亀田町,41.794475,140.734604
大川町,41.798541,140.738833
田家町,41.79817,140.745253
白鳥町,41.794952,140.744572
八幡町,41.793045,140.739206
宮前町,41.789503,140.738118
中島町,41.782917,140.741962
千代台町,41.78467,140.747232
堀川町,41.778034,140.744087
高盛町,41.774406,140.744404
宇賀浦町,41.770922,140.744524
日乃出町,41.774815,140.752483
的場町,41.779187,140.751455
時任町,41.783033,140.753967
杉並町,41.79051,140.75713
本町,41.789048,140.752046
梁川町,41.790522,140.747134
五稜郭町,41.796749,140.754813
柳町,41.793548,140.761611
松陰町,41.787199,140.76133
人見町,41.783583,140.760107
金堀町,41.77655,140.760055
乃木町,41.781752,140.764668
柏木町,41.789988,140.767893
川原町,41.793106,140.769806
深堀町,41.787509,140.777754
駒場町,41.782834,140.773807
広野町,41.778442,140.768119
湯浜町,41.776554,140.775526
湯川町１丁目,41.779508,140.783557
湯川町２丁目,41.779508,140.783557
湯川町３丁目,41.779508,140.783557
戸倉町,41.78308,140.804049
榎本町,41.78674,140.793835
花園町,41.792278,140.781562
日吉町１丁目,41.790001,140.790024
日吉町２丁目,41.790001,140.790024
日吉町３丁目,41.790001,140.790024
日吉町４丁目,41.790001,140.790024
上野町,41.78639,140.799383
高丘町,41.790061,140.805086
滝沢町,41.801088,140.802363
見晴町,41.799647,140.812914
鈴蘭丘町,41.818133,140.827789
上湯川町,41.786316,140.817702
銅山町,41.803268,140.824698
旭岡町,41.798279,140.835828
西旭岡町１丁目,41.795093,140.822481
西旭岡町２丁目,41.795093,140.822481
西旭岡町３丁目,41.795093,140.822481
鱒川町,41.830579,140.861988
寅沢町,41.8932436,140.8005075
三森町,41.87087,140.872878
紅葉山町,41.870631,140.909435
庵原町,41.818798,140.877053
亀尾町,41.800061,140.850542
米原町,41.786751,140.851439
東畑町,41.794023,140.873616
鉄山町,41.807772,140.900178
蛾眉野町,41.805982,140.965635
根崎町,41.768561,140.806449
高松町,41.774256,140.808257
志海苔町,41.766065,140.819386
瀬戸川町,41.775767,140.823133
赤坂町,41.778558,140.832776
銭亀町,41.762845,140.832602
中野町,41.770685,140.840168
新湊町,41.762055,140.845275
石倉町,41.769628,140.851365
古川町,41.762421,140.865306
豊原町,41.777139,140.869415
石崎町,41.754371,140.878793
鶴野町,41.765862,140.887551
白石町,41.7603,140.902806
富岡町１丁目,41.803819,140.745314
富岡町２丁目,41.803819,140.745314
富岡町３丁目,41.803819,140.745314
中道１丁目,41.80227,140.754905
中道２丁目,41.80227,140.754905
山の手１丁目,41.80718,140.781682
山の手２丁目,41.80718,140.781682
山の手３丁目,41.80718,140.781682
本通１丁目,41.799996,140.7628
本通２丁目,41.799996,140.7628
本通３丁目,41.799996,140.7628
本通４丁目,41.799996,140.7628
鍛治１丁目,41.804151,140.763916
鍛治２丁目,41.804151,140.763916
陣川町,41.839585,140.798117
陣川１丁目,41.817692,140.777934
陣川２丁目,41.817692,140.777934
神山町,41.823584,140.767435
神山１丁目,41.814673,140.762974
神山２丁目,41.814673,140.762974
神山３丁目,41.814673,140.762974
東山町,41.82724,140.810643
東山１丁目,41.813293,140.773422
東山２丁目,41.813293,140.773422
東山３丁目,41.813293,140.773422
美原１丁目,41.813991,140.750932
美原２丁目,41.813991,140.750932
美原３丁目,41.813991,140.750932
美原４丁目,41.813991,140.750932
美原５丁目,41.813991,140.750932
赤川町,41.833873,140.765834
赤川１丁目,41.825836,140.760939
亀田中野町,41.862987,140.770176
北美原１丁目,41.827241,140.746982
北美原２丁目,41.827241,140.746982
北美原３丁目,41.827241,140.746982
水元町,41.8932436,140.8005075
亀田大森町,41.8932436,140.8005075
石川町,41.834485,140.74215
桔梗町,41.854677,140.749113
桔梗１丁目,41.82956,140.730144
桔梗２丁目,41.82956,140.730144
桔梗３丁目,41.82956,140.730144
桔梗４丁目,41.82956,140.730144
桔梗５丁目,41.82956,140.730144
西桔梗町,41.833581,140.714325
昭和町,41.816015,140.744189
昭和１丁目,41.816015,140.744189
昭和２丁目,41.816015,140.744189
昭和３丁目,41.816015,140.744189
昭和４丁目,41.816015,140.744189
亀田本町,41.806044,140.73762
亀田港町,41.808653,140.726986
小安町,41.746236,140.916875
小安山町,41.75612,140.925193
釜谷町,41.746161,140.941876
汐首町,41.722674,140.95773
瀬田来町,41.728205,140.973484
弁才町,41.726264,140.989779
泊町,41.717176,141.000481
館町,41.727493,140.998348
